role,branch,count,share_of_role,accuracy
known,all_out,8703,0.018930882592854425,0.0
known,argmin,10052,0.02186524552721736,0.6876243533625149
known,owner_only,440970,0.9592038718799282,0.9744132253894823
known,ALL,459725,1.0,0.949696013921366
unseen,all_out,516,0.00516,1.0
unseen,argmin,93498,0.93498,0.0
unseen,owner_only,5986,0.05986,0.0
unseen,ALL,100000,1.0,0.00516
benign,all_out,1921,0.01921,0.0
benign,argmin,73839,0.73839,0.9603732444913934
benign,owner_only,24240,0.2424,0.5502062706270627
benign,ALL,100000,1.0,0.8425
