class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.45665757238026555,0.90552,0.6071345958503886,,0.90552,0.9709499999999999,0.03372,0.0534,3e-05,0.90552
ddos,flood,False,False,100000,0.9994992388430414,0.99798,0.9987390416716705,0.9981666244618891,0.98544,0.9917624858472764,-0.006976555824394048,0.98661,0.9815333333333335,0.98661,0.00019,0.0,0.05521
password,probe_access,False,False,100000,0.9982512765681053,0.99898,0.9986155053405507,0.9997628645956841,0.92752,0.9622874454023883,-0.03632805993816235,0.92752,0.9993533333333332,0.00016,0.92752,0.0,0.00178
scanning,probe_access,False,False,100000,0.9998398462524023,0.99888,0.9993596926524732,1.0,0.41785,0.5894135486828649,-0.40994614396960827,0.41788,0.6691866666666666,0.00146,0.41788,0.0,0.99098
dos,flood,False,False,40692,0.9893508139194853,0.997714538484223,0.9935150743931088,0.9964937270585658,0.8939840754939545,0.9424596492137103,-0.05105542517939854,0.8940086503489629,0.9783659359743111,0.8940086503489629,0.0,0.0,0.06490219207706674
backdoor,stealth_malware,True,False,40678,0.9998524275665306,0.9993608338659717,0.9996065702763843,1.0,0.9971483357097203,0.9985721319547022,-0.0010344383216821518,0.9971483357097203,0.9990658341118049,0.0,0.0,0.9971483357097203,0.0028024976645852793
mitm,stealth_malware,True,False,1204,0.8885714285714286,0.7749169435215947,0.8278615794143744,0.0,0.0,0.0,-0.8278615794143744,0.0,0.9717607973421926,0.0016611295681063123,0.0,0.0,0.08305647840531562
ransomware,stealth_malware,True,False,795,0.97875,0.9849056603773585,0.9818181818181818,0.0,0.0,0.0,-0.9818181818181818,0.0,0.9513626834381551,0.033962264150943396,0.0,0.0,0.1119496855345912
macro_avg,,,,383369,0.9791592902458561,0.9646768537498783,0.9713593779381062,0.7134890308737342,0.6031346301719536,0.6406421801572775,-0.3307171977808288,,,,,,
tail_macro_avg,,,,42677,0.955724618712653,0.9197278125883083,0.9364287771696468,0.3333333333333333,0.3323827785699068,0.33285737731823406,-0.6035713998514128,,,,,,
weighted_avg,,,,383369,0.9978314438176221,0.9978662854847419,0.9978345307928835,0.9938734525932574,0.8086751928298845,0.869441277783834,-0.1283932530090495,,,,,,
