class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.4615013167261558,0.92705,0.6162318821312364,,0.92705,0.97284,0.03442,0.04704,2e-05,0.92705
ddos,flood,False,False,100000,0.9994992388430414,0.99798,0.9987390416716705,0.9985758753280572,0.98166,0.9900456869686243,-0.008693354703046219,0.98266,0.9811166666666665,0.98266,0.00011,0.0,0.05654
password,probe_access,False,False,100000,0.9982512765681053,0.99898,0.9986155053405507,0.999528353955304,0.99604,0.9977811280684795,-0.0008343772720711407,0.99604,0.9991266666666666,0.00014,0.99604,0.0,0.00248
scanning,probe_access,False,False,100000,0.9998398462524023,0.99888,0.9993596926524732,1.0,0.40847,0.5800194537334838,-0.4193402389189893,0.40883,0.6689599999999999,0.00105,0.40883,0.0,0.99207
dos,flood,False,False,40692,0.9893508139194853,0.997714538484223,0.9935150743931088,0.9970238907849829,0.8973754054851076,0.9445788119042383,-0.04893626248887051,0.897399980340116,0.9787919001277893,0.897399980340116,0.0,0.0,0.06362429961663227
backdoor,stealth_malware,True,False,40678,0.9998524275665306,0.9993608338659717,0.9996065702763843,1.0,0.9970500024583313,0.9985228223940125,-0.001083747882371866,0.9970500024583313,0.9992788894898142,0.0,0.0,0.9970500024583313,0.002163331530557058
mitm,stealth_malware,True,False,1204,0.8885714285714286,0.7749169435215947,0.8278615794143744,0.0,0.0,0.0,-0.8278615794143744,0.0,0.9177740863787376,0.004152823920265781,0.0,0.0,0.2425249169435216
ransomware,stealth_malware,True,False,795,0.97875,0.9849056603773585,0.9818181818181818,0.0,0.0,0.0,-0.9818181818181818,0.0,0.9505241090146751,0.03018867924528302,0.0,0.0,0.11823899371069183
macro_avg,,,,383369,0.9791592902458561,0.9646768537498783,0.9713593779381062,0.7135897314383348,0.6115136297062056,0.6444211290098342,-0.3269382489282722,,,,,,
tail_macro_avg,,,,42677,0.955724618712653,0.9197278125883083,0.9364287771696468,0.3333333333333333,0.33235000081944377,0.33284094079800414,-0.6035878363716427,,,,,,
weighted_avg,,,,383369,0.9978314438176221,0.9978662854847419,0.9978345307928835,0.993975306016289,0.8234651210713438,0.8760211161059179,-0.12181341468696547,,,,,,
