expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,98166,100000,0.98166
flood,ddos,target known,dos,100,100000,0.001
flood,dos,target known,ddos,1,40692,2.457485500835545e-05
flood,dos,target known,dos,36516,40692,0.8973754054851076
flood,mitm,target known,ddos,2,1204,0.0016611295681063123
flood,mitm,target known,dos,3,1204,0.0024916943521594683
flood,password,target known,ddos,12,100000,0.00012
flood,password,target known,dos,2,100000,2e-05
flood,ransomware,target known,ddos,24,795,0.03018867924528302
flood,scanning,target known,ddos,101,100000,0.00101
flood,scanning,target known,dos,4,100000,4e-05
flood,unseen::xss,target unseen,ddos,16068,100000,0.16068
flood,unseen::xss,target unseen,dos,9925,100000,0.09925
flood,unseen::injection,target unseen,ddos,12736,76356,0.1667976321441668
flood,unseen::injection,target unseen,dos,901,76356,0.0117999895227618
flood,benign_diagnostic,benign diagnostic,ddos,4968,100000,0.04968
flood,benign_diagnostic,benign diagnostic,dos,576,100000,0.00576
probe_access,ddos,target known,password,11,100000,0.00011
probe_access,password,target known,password,99604,100000,0.99604
probe_access,scanning,target known,scanning,40847,100000,0.40847
probe_access,scanning,target known,password,36,100000,0.00036
probe_access,unseen::xss,target unseen,scanning,26,100000,0.00026
probe_access,unseen::xss,target unseen,password,6516,100000,0.06516
probe_access,unseen::injection,target unseen,scanning,3,76356,3.928964325003929e-05
probe_access,unseen::injection,target unseen,password,15900,76356,0.20823510922520824
probe_access,benign_diagnostic,benign diagnostic,scanning,44097,100000,0.44097
probe_access,benign_diagnostic,benign diagnostic,password,942,100000,0.00942
stealth_malware,backdoor,target known,backdoor,40558,40678,0.9970500024583313
