expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,12,40678,0.00029499975416687153
flood,ddos,target known,ddos,99469,100000,0.99469
flood,ddos,target known,dos,79,100000,0.00079
flood,dos,target known,dos,36766,40692,0.9035191192371965
flood,injection,target known,ddos,1286,76356,0.016842160406516843
flood,injection,target known,dos,1478,76356,0.01935669757451936
flood,mitm,target known,ddos,6,1204,0.0049833887043189366
flood,mitm,target known,dos,13,1204,0.01079734219269103
flood,ransomware,target known,ddos,30,795,0.03773584905660377
flood,xss,target known,ddos,550,100000,0.0055
flood,xss,target known,dos,3332,100000,0.03332
flood,unseen::password,target unseen,ddos,9092,100000,0.09092
flood,unseen::password,target unseen,dos,1,100000,1e-05
flood,unseen::scanning,target unseen,ddos,938,100000,0.00938
flood,unseen::scanning,target unseen,dos,23,100000,0.00023
flood,benign_diagnostic,benign diagnostic,ddos,17866,100000,0.17866
flood,benign_diagnostic,benign diagnostic,dos,3069,100000,0.03069
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,192,100000,0.00192
application,ddos,target known,xss,910,100000,0.0091
application,dos,target known,injection,1,40692,2.457485500835545e-05
application,dos,target known,xss,3817,40692,0.09380222156689276
application,injection,target known,injection,69710,76356,0.9129603436534129
application,injection,target known,xss,2433,76356,0.03186390067578186
application,mitm,target known,injection,5,1204,0.004152823920265781
application,mitm,target known,xss,4,1204,0.0033222591362126247
application,ransomware,target known,xss,49,795,0.061635220125786164
application,xss,target known,injection,331,100000,0.00331
application,xss,target known,xss,96880,100000,0.9688
application,unseen::password,target unseen,injection,70187,100000,0.70187
application,unseen::password,target unseen,xss,2614,100000,0.02614
application,unseen::scanning,target unseen,injection,56,100000,0.00056
application,unseen::scanning,target unseen,xss,2684,100000,0.02684
application,benign_diagnostic,benign diagnostic,injection,285,100000,0.00285
application,benign_diagnostic,benign diagnostic,xss,18855,100000,0.18855
stealth_malware,backdoor,target known,backdoor,40558,40678,0.9970500024583313
