expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,backdoor,target known,ddos,16,40678,0.0003933330055558287
flood,backdoor,target known,dos,2,40678,4.9166625694478586e-05
flood,ddos,target known,ddos,99495,100000,0.99495
flood,ddos,target known,dos,86,100000,0.00086
flood,dos,target known,dos,36881,40692,0.9063452275631574
flood,injection,target known,ddos,1322,76356,0.017313636125517312
flood,injection,target known,dos,1643,76356,0.021517627953271518
flood,mitm,target known,ddos,40,1204,0.03322259136212625
flood,mitm,target known,dos,59,1204,0.049003322259136214
flood,ransomware,target known,ddos,33,795,0.04150943396226415
flood,xss,target known,ddos,539,100000,0.00539
flood,xss,target known,dos,3204,100000,0.03204
flood,unseen::password,target unseen,ddos,9799,100000,0.09799
flood,unseen::password,target unseen,dos,10,100000,0.0001
flood,unseen::scanning,target unseen,ddos,38665,100000,0.38665
flood,unseen::scanning,target unseen,dos,87,100000,0.00087
flood,benign_diagnostic,benign diagnostic,ddos,37940,100000,0.3794
flood,benign_diagnostic,benign diagnostic,dos,10487,100000,0.10487
application,backdoor,target known,xss,22,40678,0.0005408328826392645
application,ddos,target known,injection,287,100000,0.00287
application,ddos,target known,xss,924,100000,0.00924
application,dos,target known,injection,1,40692,2.457485500835545e-05
application,dos,target known,xss,3828,40692,0.09407254497198467
application,injection,target known,injection,69607,76356,0.9116113992351617
application,injection,target known,xss,2592,76356,0.033946251768033946
application,mitm,target known,injection,8,1204,0.006644518272425249
application,mitm,target known,xss,17,1204,0.014119601328903655
application,ransomware,target known,xss,34,795,0.042767295597484274
application,xss,target known,injection,370,100000,0.0037
application,xss,target known,xss,96832,100000,0.96832
application,unseen::password,target unseen,injection,80321,100000,0.80321
application,unseen::password,target unseen,xss,2261,100000,0.02261
application,unseen::scanning,target unseen,injection,222,100000,0.00222
application,unseen::scanning,target unseen,xss,40503,100000,0.40503
application,benign_diagnostic,benign diagnostic,injection,567,100000,0.00567
application,benign_diagnostic,benign diagnostic,xss,53993,100000,0.53993
stealth_malware,backdoor,target known,backdoor,40540,40678,0.996607502827081
stealth_malware,unseen::scanning,target unseen,backdoor,49756,100000,0.49756
stealth_malware,benign_diagnostic,benign diagnostic,backdoor,7373,100000,0.07373
