class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
benign,454537,0.999680848019827,0.9999053009447882,0.9992233855549714,0.9988779791304119,0.9994520644407426,0.9993913760294605,-6.068841128215041e-05,
dos-hulk,46025,0.9983281948847106,0.9980688278435967,0.9990439978272678,0.9993916349809886,0.9986859680940021,0.9987297934014395,4.38253074374062e-05,
portscan,31786,0.993744526460653,0.9935278116499391,0.9995595545208582,0.9996853960863273,0.9966435584554095,0.9965970926312158,-4.646582419376433e-05,
ddos,25606,0.9998437622060776,0.9998047561404194,0.9996875732250254,0.9999218933062564,0.9997656616153726,0.99986332129259,9.765967721742097e-05,
dos-goldeneye,2059,0.995635305528613,0.986084452975048,0.9970859640602234,0.9980573093734822,0.9963601067702014,0.9920347574221579,-0.004325349348043517,
ftp-patator,1588,1.0,1.0,0.9968513853904282,0.9993702770780857,0.9984232103437402,0.9996850393700787,0.0012618290263385346,
ssh-patator,1179,0.9991503823279524,0.9991518235793045,0.9974554707379135,0.9991518235793045,0.99830220713073,0.9991518235793045,0.0008496164485745084,
dos-slowloris,1159,0.9922613929492692,0.988013698630137,0.9956859361518551,0.9956859361518551,0.9939707149009475,0.9918349806617963,-0.0021357342391511436,
dos-slowhttptest,1100,0.9890610756608933,0.9872611464968153,0.9863636363636363,0.9863636363636363,0.9877105143377333,0.98681218735789,-0.0008983269798432669,
bot,393,0.8291457286432161,0.670753064798599,0.8396946564885496,0.9745547073791349,0.8343868520859671,0.7946058091286307,-0.03978104295733642,
web-attack-�-brute-force,302,0.7416107382550335,0.7482993197278912,0.7317880794701986,0.7284768211920529,0.7366666666666667,0.738255033557047,0.0015883668903803327,
web-attack-�-xss,130,0.38461538461538464,0.39416058394160586,0.38461538461538464,0.4153846153846154,0.38461538461538464,0.4044943820224719,0.019878997407087262,
infiltration,7,1.0,1.0,0.8571428571428571,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.0,
web-attack-�-sql-injection,4,0.0,0.5,0.0,0.25,0.0,0.3333333333333333,0.3333333333333333,
heartbleed,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
macro avg,565877,0.861538489303442,0.8843353857818762,0.8522798587699446,0.8801376591432672,0.8565373221689214,0.8771910568576227,0.020653734688701242,True
weighted avg,565877,0.9987894576487418,0.9987870605013985,0.9987947910941777,0.9986781579742594,0.9987914665655158,0.9987116879115253,-7.97786539904477e-05,True
