class,train_support,best_expert,aff_head,aff_balanced,aff_tail
analysis,1600,tail,0.225,0.3,0.39
backdoor,1397,tail,0.1318051575931232,0.335243553008596,0.5300859598853869
dos,9811,head,0.8157358336730534,0.36485935589074603,0.0811251528740318
exploits,26714,head,0.5458901033088785,0.5038179368168888,0.4969306782452463
fuzzers,14547,balanced,0.8671982403079461,0.8710475666758317,0.7244982128127577
generic,32000,balanced,0.982375,0.982625,0.9825
normal,44800,tail,0.8517857142857143,0.8369642857142857,0.9083928571428571
reconnaissance,8393,balanced,0.7912297426120114,0.8031458531935176,0.7964728312678742
shellcode,906,tail,0.9030837004405287,0.9559471365638766,0.9647577092511013
worms,104,balanced,0.6923076923076923,0.9615384615384616,0.9230769230769231
