class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
apple,100,1.0,1.0,0.03,0.05,0.05825242718446602,0.09523809523809523,0.03698566805362921,
aquarium_fish,100,0.20502092050209206,0.225531914893617,0.49,0.53,0.2890855457227139,0.3164179104477612,0.027332364725047298,
baby,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bear,100,0.1,0.102803738317757,0.11,0.11,0.10476190476190476,0.10628019323671498,0.0015182884748102116,
beaver,100,0.09836065573770492,0.12345679012345678,0.18,0.2,0.127208480565371,0.15267175572519084,0.02546327515981983,
bed,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bee,100,0.625,0.5333333333333333,0.05,0.08,0.09259259259259259,0.1391304347826087,0.04653784219001611,
beetle,100,0.18085106382978725,0.1724137931034483,0.34,0.35,0.2361111111111111,0.23102310231023102,-0.0050880088008800894,
bicycle,100,0.1953125,0.19424460431654678,0.25,0.27,0.21929824561403508,0.22594142259414227,0.0066431769801071905,
bottle,100,0.35789473684210527,0.32,0.34,0.32,0.3487179487179487,0.32,-0.028717948717948694,
bowl,100,0.19642857142857142,0.1440677966101695,0.22,0.17,0.20754716981132076,0.1559633027522936,-0.05158386705902718,
boy,100,0.5,0.0,0.01,0.0,0.0196078431372549,0.0,-0.0196078431372549,
bridge,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bus,100,0.15789473684210525,0.15966386554621848,0.18,0.19,0.16822429906542055,0.1735159817351598,0.005291682669739256,
butterfly,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
camel,100,0.08441558441558442,0.0967741935483871,0.13,0.12,0.10236220472440945,0.10714285714285714,0.0047806524184476895,
can,100,0.32,0.323943661971831,0.24,0.23,0.2742857142857143,0.26900584795321636,-0.00527986633249794,
castle,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
caterpillar,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cattle,100,0.12,0.14,0.12,0.14,0.12,0.14,0.020000000000000018,
chair,100,0.3314917127071823,0.34065934065934067,0.6,0.62,0.42704626334519574,0.4397163120567376,0.01267004871154187,
chimpanzee,100,0.19480519480519481,0.24056603773584906,0.45,0.51,0.2719033232628399,0.3269230769230769,0.055019753660237036,
clock,100,0.22448979591836735,0.27472527472527475,0.22,0.25,0.2222222222222222,0.2617801047120419,0.039557882489819673,
cloud,100,0.0,0.5,0.0,0.03,0.0,0.05660377358490566,0.05660377358490566,
cockroach,100,0.0,1.0,0.0,0.02,0.0,0.0392156862745098,0.0392156862745098,
couch,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
crab,100,0.1623931623931624,0.18421052631578946,0.19,0.21,0.17511520737327188,0.19626168224299065,0.021146474869718768,
crocodile,100,0.08333333333333333,0.08571428571428572,0.24,0.24,0.12371134020618557,0.12631578947368421,0.002604449267498643,
cup,100,0.35714285714285715,0.3617021276595745,0.5,0.51,0.4166666666666667,0.42323651452282157,0.006569847856154887,
dinosaur,100,0.24691358024691357,0.25,0.2,0.22,0.22099447513812154,0.23404255319148937,0.013048078053367829,
dolphin,100,0.24193548387096775,0.21081081081081082,0.45,0.39,0.3146853146853147,0.2736842105263158,-0.04100110415899888,
elephant,100,0.1111111111111111,0.11875,0.19,0.19,0.14022140221402213,0.14615384615384616,0.005932443939824034,
flatfish,100,0.2558139534883721,0.21428571428571427,0.11,0.12,0.15384615384615385,0.15384615384615385,0.0,
forest,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fox,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
girl,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hamster,100,0.16129032258064516,0.20430107526881722,0.3,0.38,0.2097902097902098,0.26573426573426573,0.05594405594405594,
house,100,0.10144927536231885,0.1336405529953917,0.21,0.29,0.13680781758957655,0.1829652996845426,0.046157482094966035,
kangaroo,100,0.0783132530120482,0.06741573033707865,0.13,0.12,0.09774436090225563,0.08633093525179857,-0.011413425650457068,
keyboard,100,0.25,0.23853211009174313,0.29,0.26,0.26851851851851855,0.24880382775119617,-0.01971469076732238,
lamp,100,0.20909090909090908,0.18421052631578946,0.23,0.21,0.21904761904761905,0.19626168224299065,-0.0227859368046284,
lawn_mower,100,1.0,1.0,0.02,0.04,0.0392156862745098,0.07692307692307693,0.037707390648567124,
leopard,100,0.0912863070539419,0.08333333333333333,0.22,0.21,0.12903225806451613,0.11931818181818182,-0.009714076246334302,
lion,100,0.1386861313868613,0.125,0.38,0.4,0.20320855614973263,0.19047619047619047,-0.012732365673542162,
lizard,100,0.08396946564885496,0.09230769230769231,0.11,0.12,0.09523809523809523,0.10434782608695652,0.009109730848861283,
lobster,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
man,100,0.13709677419354838,0.11016949152542373,0.17,0.13,0.15178571428571427,0.11926605504587157,-0.03251965923984271,
maple_tree,100,0.20359281437125748,0.23270440251572327,0.34,0.37,0.2546816479400749,0.2857142857142857,0.03103263777421078,
