class,train_support,best_expert,aff_head,aff_balanced,aff_tail
apple,21,head,0.0,0.0,0.0
aquarium_fish,400,balanced,0.45,0.48,0.45
baby,4,head,0.0,0.0,0.0
bear,400,head,0.11,0.11,0.11
beaver,400,head,0.16,0.13,0.14
bed,12,head,0.0,0.0,0.0
bee,126,head,0.03125,0.0,0.0
beetle,400,balanced,0.38,0.39,0.23
bicycle,400,head,0.31,0.28,0.22
bottle,400,balanced,0.33,0.36,0.35
bowl,400,balanced,0.18,0.19,0.16
boy,127,head,0.0,0.0,0.0
bridge,21,head,0.0,0.0,0.0
bus,400,balanced,0.16,0.17,0.09
butterfly,4,head,0.0,0.0,0.0
camel,400,tail,0.15,0.17,0.22
can,400,balanced,0.23,0.24,0.22
castle,56,head,0.07142857142857142,0.07142857142857142,0.0
caterpillar,40,head,0.0,0.0,0.0
cattle,400,balanced,0.15,0.17,0.13
chair,400,balanced,0.6,0.7,0.62
chimpanzee,400,head,0.45,0.39,0.37
clock,400,balanced,0.15,0.19,0.16
cloud,40,head,0.1,0.1,0.1
cockroach,12,head,0.0,0.0,0.0
couch,40,head,0.0,0.0,0.0
crab,400,tail,0.13,0.19,0.2
crocodile,400,tail,0.15,0.14,0.17
cup,400,balanced,0.35,0.36,0.36
dinosaur,400,balanced,0.2,0.22,0.17
dolphin,400,head,0.42,0.36,0.38
elephant,400,tail,0.17,0.17,0.19
flatfish,400,balanced,0.09,0.11,0.08
forest,4,head,0.0,0.0,0.0
fox,40,head,0.0,0.0,0.0
girl,12,head,0.0,0.0,0.0
hamster,400,head,0.41,0.34,0.36
house,400,balanced,0.24,0.28,0.17
kangaroo,400,tail,0.15,0.17,0.2
keyboard,400,head,0.28,0.28,0.24
lamp,400,tail,0.24,0.23,0.28
lawn_mower,8,head,0.0,0.0,0.0
leopard,400,tail,0.23,0.24,0.26
lion,400,balanced,0.35,0.38,0.3
lizard,400,balanced,0.06,0.08,0.04
lobster,56,head,0.0,0.0,0.0
man,400,head,0.21,0.19,0.2
maple_tree,400,balanced,0.37,0.38,0.38
motorcycle,400,balanced,0.29,0.32,0.26
mountain,12,head,0.0,0.0,0.0
mouse,400,head,0.05,0.04,0.05
mushroom,150,tail,0.02631578947368421,0.02631578947368421,0.07894736842105263
oak_tree,400,tail,0.55,0.52,0.57
orange,56,balanced,0.07142857142857142,0.21428571428571427,0.14285714285714285
orchid,400,head,0.54,0.54,0.51
otter,400,head,0.09,0.08,0.09
palm_tree,400,head,0.32,0.3,0.26
pear,8,head,0.0,0.0,0.0
pickup_truck,400,head,0.25,0.22,0.23
pine_tree,400,head,0.24,0.22,0.16
plain,127,balanced,0.3870967741935484,0.41935483870967744,0.3870967741935484
plate,400,head,0.65,0.57,0.56
poppy,8,head,0.0,0.0,0.0
porcupine,4,head,0.0,0.0,0.0
possum,400,tail,0.09,0.06,0.11
rabbit,400,head,0.11,0.06,0.06
raccoon,127,tail,0.0,0.0,0.03225806451612903
ray,400,head,0.32,0.31,0.3
road,8,head,0.0,0.0,0.0
rocket,150,balanced,0.21052631578947367,0.3157894736842105,0.18421052631578946
rose,150,head,0.2894736842105263,0.2631578947368421,0.15789473684210525
sea,400,head,0.68,0.64,0.65
seal,400,balanced,0.05,0.09,0.07
shark,400,balanced,0.32,0.36,0.36
shrew,400,balanced,0.23,0.27,0.21
skunk,12,head,0.0,0.0,0.0
skyscraper,150,head,0.15789473684210525,0.13157894736842105,0.07894736842105263
snail,150,head,0.05263157894736842,0.05263157894736842,0.0
snake,400,tail,0.13,0.12,0.14
spider,8,head,0.0,0.0,0.0
squirrel,400,balanced,0.17,0.23,0.16
streetcar,400,balanced,0.12,0.13,0.12
sunflower,21,head,0.0,0.0,0.0
sweet_pepper,400,head,0.55,0.51,0.48
table,4,head,0.0,0.0,0.0
tank,56,head,0.0,0.0,0.0
telephone,400,head,0.35,0.32,0.31
television,400,head,0.31,0.19,0.21
tiger,400,balanced,0.08,0.16,0.12
tractor,21,head,0.0,0.0,0.0
train,400,balanced,0.19,0.23,0.21
trout,400,balanced,0.33,0.38,0.35
tulip,56,head,0.0,0.0,0.0
turtle,400,head,0.11,0.09,0.09
wardrobe,126,head,0.25,0.25,0.21875
whale,400,balanced,0.41,0.42,0.36
willow_tree,400,head,0.39,0.33,0.35
wolf,400,balanced,0.22,0.25,0.15
woman,40,head,0.0,0.0,0.0
worm,21,head,0.0,0.0,0.0
