Class_ID,Class_Name,Expert_ID,Expert_Name,S_P,S_R,S_F1,S_Conf,S_Ent,S_Eng,T_P,T_R,T_F1,T_Conf,T_Ent,T_Eng
0,analysis,0,Global_Router,0.97,0.06,0.12,0.49,0.55,-3.06,0.97,0.06,0.12,0.49,0.55,-3.06
0,analysis,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.98,0.02,-4.72
0,analysis,2,Spec_Group2,-,-,-,-,-,-,0.07,0.49,0.12,0.68,0.24,-2.01
0,analysis,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.82,0.20,-2.40
0,analysis,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,1.00,0.00,-5.28
0,analysis,5,Spec_Rand1,-,-,-,-,-,-,1.00,0.06,0.12,0.49,0.55,-3.07
0,analysis,6,Spec_Rand2,-,-,-,-,-,-,0.97,0.07,0.12,0.75,0.31,-2.76
0,analysis,7,Spec_Rand3,-,-,-,-,-,-,0.97,0.07,0.13,0.51,0.50,-2.85
0,analysis,8,Spec_Rand4,-,-,-,-,-,-,0.18,0.10,0.13,0.68,0.38,-2.85
0,analysis,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.67,0.29,-2.61
1,backdoor,0,Global_Router,0.94,0.10,0.18,0.46,0.59,-3.10,0.94,0.10,0.18,0.46,0.59,-3.10
1,backdoor,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.98,0.02,-4.73
1,backdoor,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.68,0.23,-2.06
1,backdoor,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.80,0.22,-2.54
1,backdoor,4,Spec_Group4,-,-,-,-,-,-,0.05,0.97,0.10,0.98,0.03,-5.02
1,backdoor,5,Spec_Rand1,-,-,-,-,-,-,0.94,0.10,0.18,0.45,0.59,-3.10
1,backdoor,6,Spec_Rand2,-,-,-,-,-,-,0.93,0.11,0.19,0.76,0.31,-2.89
1,backdoor,7,Spec_Rand3,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.46,0.55,-2.78
1,backdoor,8,Spec_Rand4,-,-,-,-,-,-,0.27,0.15,0.19,0.66,0.40,-2.89
1,backdoor,9,Spec_Rand5,-,-,-,-,-,-,0.06,0.20,0.09,0.60,0.35,-2.60
2,dos,0,Global_Router,0.48,0.10,0.16,0.48,0.56,-2.96,0.48,0.10,0.16,0.48,0.56,-2.96
2,dos,1,Spec_Group1,-,-,-,-,-,-,0.21,0.97,0.35,0.97,0.03,-4.52
2,dos,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.66,0.24,-2.04
2,dos,3,Spec_Group3,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.84,0.20,-2.54
2,dos,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.97,0.03,-4.75
2,dos,5,Spec_Rand1,-,-,-,-,-,-,0.54,0.06,0.10,0.48,0.56,-2.96
2,dos,6,Spec_Rand2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.80,0.27,-2.78
2,dos,7,Spec_Rand3,-,-,-,-,-,-,0.58,0.05,0.10,0.50,0.52,-2.74
2,dos,8,Spec_Rand4,-,-,-,-,-,-,0.25,0.92,0.39,0.72,0.37,-2.86
2,dos,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.58,0.37,-2.43
3,exploits,0,Global_Router,0.62,0.91,0.74,0.68,0.37,-3.41,0.62,0.91,0.74,0.68,0.37,-3.41
3,exploits,1,Spec_Group1,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.93,0.08,-3.51
3,exploits,2,Spec_Group2,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.79,0.17,-2.48
3,exploits,3,Spec_Group3,-,-,-,-,-,-,0.59,0.95,0.73,0.90,0.14,-3.13
3,exploits,4,Spec_Group4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.93,0.08,-3.78
3,exploits,5,Spec_Rand1,-,-,-,-,-,-,0.61,0.92,0.74,0.68,0.37,-3.41
3,exploits,6,Spec_Rand2,-,-,-,-,-,-,0.58,0.97,0.72,0.88,0.17,-3.45
3,exploits,7,Spec_Rand3,-,-,-,-,-,-,0.61,0.93,0.73,0.69,0.34,-3.18
3,exploits,8,Spec_Rand4,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.79,0.27,-3.19
3,exploits,9,Spec_Rand5,-,-,-,-,-,-,0.00(NA),0.00,0.00,0.64,0.35,-2.48
4,fuzzers,0,Global_Router,0.69,0.54,0.60,0.64,0.37,-3.24,0.69,0.54,0.60,0.64,0.37,-3.24
