class_id,class_name,baseline_precision,baseline_recall,baseline_f1,moe_precision,moe_recall,moe_f1,delta_f1
0,benign,0.9996611087026845,0.9994081902943208,0.9995346334991271,0.999887612717833,0.998237771099446,0.9990620107758668,-0.0004726227232603186
1,bot,0.9198717948717948,0.7302798982188295,0.8141843971631205,0.6432160804020101,0.9770992366412213,0.7757575757575758,-0.038426821405544764
2,ddos,0.999882826231301,0.9997656799187691,0.9998242496436174,0.9994143141618835,0.9996094665312817,0.9995118808208212,-0.00031236882279617184
3,dos-goldeneye,0.9956310679611651,0.9961146187469645,0.99587278465647,0.957089552238806,0.996600291403594,0.9764453961456103,-0.019427388510859678
4,dos-hulk,0.998329319360368,0.9997175448126019,0.9990229498230454,0.9933490250275324,0.9994785442694188,0.9964043580912774,-0.0026185917317680385
5,dos-slowhttptest,0.986400725294651,0.9890909090909091,0.9877439854743532,0.948695652173913,0.9918181818181818,0.9697777777777777,-0.01796620769657542
6,dos-slowloris,0.9956822107081175,0.994823123382226,0.9952524816573155,0.9458572600492207,0.994823123382226,0.9697224558452481,-0.025530025812067425
7,ftp-patator,1.0,0.9993702770780857,0.9996850393700787,0.9987413467589679,0.9993702770780857,0.9990557129367328,-0.0006293264333459003
8,heartbleed,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.33333333333333337
9,infiltration,1.0,0.42857142857142855,0.6,0.75,0.8571428571428571,0.8,0.20000000000000007
10,portscan,0.9949268781511289,0.999528094129491,0.9972221786280387,0.9838614568138792,0.9973258667337822,0.9905479088224726,-0.00667426980556618
11,ssh-patator,1.0,0.998303647158609,0.9991511035653651,0.9768019884009942,1.0,0.9882648784576697,-0.010886225107695324
12,web-attack-�-brute-force,0.726790450928382,0.9102990033222591,0.8082595870206489,1.0,0.08637873754152824,0.15902140672782875,-0.6492381802928202
13,web-attack-�-sql-injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,web-attack-�-xss,0.49019607843137253,0.19230769230769232,0.27624309392265195,0.8333333333333334,0.038461538461538464,0.07352941176470588,-0.20271368215794605
