expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.9576638671282593,0.46673110127449036,0.9900050987723725,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
1,Balanced_Global,0.0003639748564495717,0.3326312005519867,0.9877106512047484,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
2,Tail_Expert,0.009404775601133761,0.008674385957419872,0.9896597141677642,"0, 1, 3, 4, 5, 6, 7, 8, 9"
3,Spec_Group1_volume,0.019868006819299035,0.01935635507106781,0.002212794930211852,"0, 2, 3, 4, 5, 6, 7, 9"
4,Spec_Group2_timing,0.009467529886728514,0.01068288553506136,0.9884319270956085,"0, 2, 3, 4, 5, 6, 7, 9"
5,Spec_Group3_packet,0.0013868697116440577,0.004774599336087704,0.9730471102731296,"0, 2, 3, 4, 5, 6, 7, 9"
6,Spec_Group4_tcp,0.0011002918074280157,0.01044375542551279,0.7092603393251505,"0, 1, 3, 4, 5, 6, 7, 8"
7,Rand_1_packet,0.0001757119996653105,0.006385402753949165,0.9823471043351167,"2, 5, 6, 7, 9"
8,Rand_2_timing,0.00047065714196065306,0.13284462690353394,0.9881313015656998,"0, 2, 3, 4, 5, 6, 7, 8, 9"
9,Rand_3_packet,9.831504743178086e-05,0.007475682999938726,0.9815940232503602,"2, 5, 6, 7, 8, 9"
