run,system_macro_f1,global_macro_f1,paired_delta,xgboost_macro_f1,helpful,harmful,override_precision,harmful_rate_hi,accepted,proposed,calls_per_sample_nominal,measured_compute_mult,total_s,peak_gpu_mem_gb
20260826_130310_nfv3_cic2018_exp22c_racectx,0.742846065646334,0.6799681230787324,0.062878,0.7548308060573385,57565,8524,0.871022,0.00224293,2129421,2427757,1.603452,1.1175,5346.0,19.47
20260826_183417_nfv3_cic2018_exp23_raceguide,0.7000517483700424,0.6677384723004398,0.032313,0.7548308060573385,12947,96,0.99264,3.038e-05,13107,186404,1.046333,2.0234,4274.1,19.47
20260827_011706_nfv3_cic2018_exp23b_greedy,0.6937415570451353,0.6691905781879948,0.024551,,10377,62,0.994061,2.059e-05,10668,190949,1.047463,2.0257,4167.0,19.47
20260827_023651_nfv3_cic2018_exp23c_anchor,0.6744587463736021,0.6711119044305249,0.003347,,33012,680,0.979817,0.00018959,42956,246384,1.061242,2.028,4656.1,19.47
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,0.6688132118625323,0.6734351072067405,-0.004622,,10325,772,0.930432,0.00021439,30378,164850,1.040976,2.0277,4655.5,19.47
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,0.657842653883674,0.6601986486684267,-0.002356,,7091,294,0.96019,8.574e-05,14515,415562,1.103294,2.0318,4606.4,19.47
20260827_063039_nfv3_cic2018_exp23d_anchmode_natural,0.6514034332732567,0.6679311982002779,-0.016528,,2278,23,0.990004,8.93e-06,23173,200344,1.049798,2.0273,4584.8,19.47
20260827_144730_nfv3_cic2018_exp24a_regprune,0.6721412556763926,0.6460772887836469,0.026064,,12567,52,0.995879,1.791e-05,12799,192552,1.047861,2.031,5523.2,19.47
20260827_161322_nfv3_cic2018_exp24b_signscorer,0.6824385564323862,0.6690387528500085,0.0134,,15653,241,0.984837,7.075e-05,138682,157986,1.03927,2.0303,5094.7,19.47
20260827_174858_nfv3_cic2018_exp24b_signscorer,0.6978111785629464,0.6698101254722705,0.028001,,12710,4,0.999685,2.66e-06,12732,634016,1.157593,2.0439,5721.4,19.47
