method,class,precision,recall,f1,support
xgb_c0,benign,0.981937,0.997651,0.989732,3502926
xgb_c0,bot,1.0,0.995282,0.997635,41542
xgb_c0,brute_force,0.785585,0.672323,0.724554,115040
xgb_c0,ddos,0.999483,0.999977,0.99973,264872
xgb_c0,dos,1.0,0.641994,0.781969,60594
xgb_c0,infiltration,0.667735,0.321065,0.433629,37631
xgb_c0,web_attacks,0.104202,0.477407,0.171067,509
xgb_c0,macro_avg,,,0.728331,4023114
xgb_c0,weighted_avg,,,0.974454,4023114
xgb_c0,tail_avg,,,0.53411,4023114
xgb_c0+ssh50,benign,0.99244,0.997581,0.995004,3502926
xgb_c0+ssh50,bot,1.0,0.99533,0.99766,41542
xgb_c0+ssh50,brute_force,0.84488,0.999461,0.915692,115040
xgb_c0+ssh50,ddos,0.999483,0.999996,0.99974,264872
xgb_c0+ssh50,dos,1.0,0.641994,0.781969,60594
xgb_c0+ssh50,infiltration,0.659258,0.321597,0.432307,37631
xgb_c0+ssh50,web_attacks,0.105218,0.483301,0.172813,509
xgb_c0+ssh50,macro_avg,,,0.756455,4023114
xgb_c0+ssh50,weighted_avg,,,0.984499,4023114
xgb_c0+ssh50,tail_avg,,,0.53426,4023114
xgb_c0+ssh200,benign,0.992408,0.997448,0.994922,3502926
xgb_c0+ssh200,bot,1.0,0.995282,0.997635,41542
xgb_c0+ssh200,brute_force,0.844762,0.998939,0.915404,115040
xgb_c0+ssh200,ddos,0.999483,0.999996,0.99974,264872
xgb_c0+ssh200,dos,1.0,0.641994,0.781969,60594
xgb_c0+ssh200,infiltration,0.642477,0.320427,0.427596,37631
xgb_c0+ssh200,web_attacks,0.106119,0.48723,0.17428,509
xgb_c0+ssh200,macro_avg,,,0.755935,4023114
xgb_c0+ssh200,weighted_avg,,,0.984375,4023114
xgb_c0+ssh200,tail_avg,,,0.53317,4023114
xgb_c0+ssh1000,benign,0.992415,0.996991,0.994698,3502926
xgb_c0+ssh1000,bot,0.999976,0.995282,0.997623,41542
xgb_c0+ssh1000,brute_force,0.844921,0.999826,0.91587,115040
xgb_c0+ssh1000,ddos,0.999483,0.999615,0.999549,264872
xgb_c0+ssh1000,dos,0.999974,0.641994,0.781961,60594
xgb_c0+ssh1000,infiltration,0.592281,0.321331,0.416628,37631
xgb_c0+ssh1000,web_attacks,0.105015,0.481336,0.172414,509
xgb_c0+ssh1000,macro_avg,,,0.754106,4023114
xgb_c0+ssh1000,weighted_avg,,,0.984078,4023114
xgb_c0+ssh1000,tail_avg,,,0.528888,4023114
xgb_c0+ssh5000,benign,0.991748,0.996956,0.994345,3502926
xgb_c0+ssh5000,bot,0.999976,0.995282,0.997623,41542
xgb_c0+ssh5000,brute_force,0.844928,0.999826,0.915874,115040
xgb_c0+ssh5000,ddos,0.999478,0.990569,0.995004,264872
xgb_c0+ssh5000,dos,0.999949,0.641978,0.781941,60594
xgb_c0+ssh5000,infiltration,0.589786,0.322234,0.416765,37631
xgb_c0+ssh5000,web_attacks,0.105375,0.485265,0.173151,509
xgb_c0+ssh5000,macro_avg,,,0.753529,4023114
xgb_c0+ssh5000,weighted_avg,,,0.983473,4023114
xgb_c0+ssh5000,tail_avg,,,0.52918,4023114
