method,class,precision,recall,f1,support
xgboost,backdoor,0.9997537916092181,0.9982300014749987,0.9989913154722365,40678
xgboost,benign,0.4606621466318045,0.91792,0.6134578177577432,100000
xgboost,ddos,0.9848990764973077,0.98223,0.9835627274957568,100000
xgboost,dos,0.9897237835787441,0.7053229135948098,0.8236644616951974,40692
xgboost,injection,0.995227704652636,0.9258735397349259,0.9592987360150891,76356
xgboost,mitm,0.8005644402634055,0.7068106312292359,0.7507719453021614,1204
xgboost,password,0.9626571227366126,0.9979,0.979961799264464,100000
xgboost,ransomware,0.8935643564356436,0.9081761006289308,0.9008109794135996,795
xgboost,scanning,1.0,0.00057,0.0011393505701750002,100000
xgboost,xss,0.8693404136389045,0.99536,0.9280918991496345,100000
xgboost,macro_avg,,,0.7939751032136056,659725
xgboost,weighted_avg,,,0.7573506701546914,659725
xgboost,tail_avg,,,0.8257914623578805,659725
tabpfn_v3,backdoor,0.9999753737040412,0.9982300014749987,0.9991019253244756,40678
tabpfn_v3,benign,0.3998076602172825,0.91045,0.5556233637046033,100000
tabpfn_v3,ddos,0.9861309795566378,0.97198,0.9790043562561378,100000
tabpfn_v3,dos,0.9975934838948538,0.6621694682001377,0.7959883016749875,40692
tabpfn_v3,injection,0.9932192810735665,0.916967887264917,0.953571671773919,76356
tabpfn_v3,mitm,0.38957206099360553,0.6578073089700996,0.4893419833178869,1204
tabpfn_v3,password,0.9607116025505191,0.99743,0.9787265358989706,100000
tabpfn_v3,ransomware,0.9017857142857143,0.889308176100629,0.8955034832172261,795
tabpfn_v3,scanning,1.0,0.0001,0.00019998000199980003,100000
tabpfn_v3,xss,0.8496132073344008,0.75342,0.7986304709611084,100000
tabpfn_v3,macro_avg,,,0.7445692072131316,659725
tabpfn_v3,weighted_avg,,,0.725093495561683,659725
tabpfn_v3,tail_avg,,,0.6924227332675565,659725
