method,class,precision,recall,f1,support
xgboost,bot,0.0,0.0,0.0,392
xgboost,ddos,0.7208370938628159,0.9981644210115211,0.8371300830317224,25605
xgboost,dos-goldeneye,0.9332425068119891,0.9975728155339806,0.9643359924917879,2060
xgboost,dos-hulk,0.9980607332709726,0.9504627819058793,0.9736804033074774,46026
xgboost,dos-slowhttptest,0.7658730158730159,0.8764759309718437,0.8174502329521389,1101
xgboost,dos-slowloris,0.9405405405405406,0.75,0.8345323741007195,1160
xgboost,ftp-patator,1.0,0.9861373660995589,0.993020304568528,1587
xgboost,heartbleed,0.0,0.0,0.0,3
xgboost,infiltration,0.0,0.0,0.0,8
xgboost,normal,0.9960844467767327,0.9777750383037177,0.9868448240236931,454264
xgboost,portscan,0.9713436312369744,0.9978275927208614,0.984407516695139,31762
xgboost,ssh-patator,1.0,0.9838983050847457,0.9918838103374626,1180
xgboost,web-attack-brute-force,0.6910828025477707,0.7185430463576159,0.7045454545454546,302
xgboost,web-attack-sql-injection,0.6666666666666666,0.4,0.5,5
xgboost,web-attack-xss,0.17333333333333334,0.29770992366412213,0.21910112359550563,131
xgboost,macro_avg,,,0.6537954746433087,565586
xgboost,weighted_avg,,,0.9771265240002572,565586
xgboost,tail_avg,,,0.28472931562819204,565586
tabpfn_v3,bot,0.0,0.0,0.0,392
tabpfn_v3,ddos,0.6762409000661813,0.9976567076742824,0.8060902492899968,25605
tabpfn_v3,dos-goldeneye,0.930285196921684,0.9975728155339806,0.9627547434996486,2060
tabpfn_v3,dos-hulk,0.9987919203633904,0.8981445270064746,0.9457981559018006,46026
tabpfn_v3,dos-slowhttptest,0.7428791377983064,0.8764759309718437,0.8041666666666667,1101
tabpfn_v3,dos-slowloris,0.983132530120482,0.7034482758620689,0.8201005025125628,1160
tabpfn_v3,ftp-patator,1.0,0.9792060491493384,0.9894937917860553,1587
tabpfn_v3,heartbleed,1.0,1.0,1.0,3
tabpfn_v3,infiltration,0.0,0.0,0.0,8
tabpfn_v3,normal,0.9896631672414334,0.9716112216684571,0.9805541176705819,454264
tabpfn_v3,portscan,0.9579252811026479,0.9977961085573956,0.977454276285353,31762
tabpfn_v3,ssh-patator,0.9912935323383084,0.6754237288135593,0.8034274193548387,1180
tabpfn_v3,web-attack-brute-force,0.835820895522388,0.18543046357615894,0.3035230352303523,302
tabpfn_v3,web-attack-sql-injection,1.0,0.2,0.3333333333333333,5
tabpfn_v3,web-attack-xss,1.0,0.015267175572519083,0.03007518796992481,131
tabpfn_v3,macro_avg,,,0.650451431966741,565586
tabpfn_v3,weighted_avg,,,0.9672909257289758,565586
tabpfn_v3,tail_avg,,,0.333386311306722,565586
