method,class,precision,recall,f1,support
tabpfn_dos_pair,benign,0.9923097082232033,0.9977056317220608,0.9950003544535451,3502925
tabpfn_dos_pair,bot,0.9929000023905716,0.9998555609051517,0.9963656427294862,41540
tabpfn_dos_pair,brute_force,0.9992842183399168,0.32766564091865297,0.4935093840624775,115038
tabpfn_dos_pair,ddos,0.9990036683121235,0.9993921523470093,0.9991978725693179,264869
tabpfn_dos_pair,dos,0.4348821519823156,1.0,0.6061573089908716,60593
tabpfn_dos_pair,infiltration,0.6471950442887744,0.2970768004251927,0.4072272917691201,37630
tabpfn_dos_pair,web_attacks,0.0,0.0,0.0,507
tabpfn_dos_pair,macro_avg,,,0.642493979224974,4023102
tabpfn_dos_pair,weighted_avg,,,0.969471410883807,4023102
tabpfn_dos_pair,tail_avg,,,0.4678643114995354,4023102
xgb_dos_pair,benign,0.9927343530503303,0.9976094264079305,0.9951659193182679,3502925
xgb_dos_pair,bot,0.9977821171138593,0.9963649494463168,0.9970730297153733,41540
xgb_dos_pair,brute_force,0.9999469439728353,0.32766564091865297,0.4935901632904265,115038
xgb_dos_pair,ddos,0.9981760145918832,1.0,0.9990871748060246,264869
xgb_dos_pair,dos,0.43840215322948245,0.9999834964434836,0.6095651998953744,60593
xgb_dos_pair,infiltration,0.621577542749827,0.33422800956683496,0.43470897276372183,37630
xgb_dos_pair,web_attacks,0.0,0.0,0.0,507
xgb_dos_pair,macro_avg,,,0.6470272085413127,4023102
xgb_dos_pair,weighted_avg,,,0.9699262709454001,4023102
xgb_dos_pair,tail_avg,,,0.4772606674930317,4023102
