view,alpha,class,rows,pool_rows,share_of_context_pct
a100,1.0,benign,870702,10508775,87.0702
a100,1.0,bot,10325,124621,1.0325
a100,1.0,brute_force,28595,345116,2.8595
a100,1.0,ddos,65837,794609,6.5837
a100,1.0,dos,15061,181779,1.5061
a100,1.0,infiltration,9354,112891,0.9354
a100,1.0,web_attacks,126,1522,0.0126
a050,0.5,benign,554627,10508775,55.4627
a050,0.5,bot,60398,124621,6.0398
a050,0.5,brute_force,100510,345116,10.051
a050,0.5,ddos,152511,794609,15.2511
a050,0.5,dos,72946,181779,7.2946
a050,0.5,infiltration,57486,112891,5.7486
a050,0.5,web_attacks,1522,1522,0.1522
a000,0.0,benign,193063,10508775,19.3063
a000,0.0,bot,124621,124621,12.4621
a000,0.0,brute_force,193062,345116,19.3062
a000,0.0,ddos,193062,794609,19.3062
a000,0.0,dos,181779,181779,18.1779
a000,0.0,infiltration,112891,112891,11.2891
a000,0.0,web_attacks,1522,1522,0.1522
pool,,benign,10508775,10508775,87.0702
pool,,bot,124621,124621,1.0325
pool,,brute_force,345116,345116,2.8595
pool,,ddos,794609,794609,6.5837
pool,,dos,181779,181779,1.5061
pool,,infiltration,112891,112891,0.9354
pool,,web_attacks,1522,1522,0.0126
