expert,score,ood_role,threshold,id_retain_at_tau,ood_detect_at_tau
flood,maxsim,unseen,8.040157318115234,0.95,1.0
flood,maxsim,aux,8.040157318115234,0.95,0.9906
flood,maxsim,non_owned_known_attack,8.040157318115234,0.95,0.6183
flood,maxsim,benign,8.040157318115234,0.95,1.0
flood,energy_head,unseen,16.816051483154297,0.95,1.0
flood,energy_head,aux,16.816051483154297,0.95,0.9926
flood,energy_head,non_owned_known_attack,16.816051483154297,0.95,0.6185
flood,energy_head,benign,16.816051483154297,0.95,1.0
brute_force,maxsim,unseen,1.2523083686828613,1.0,0.0
brute_force,maxsim,aux,1.2523083686828613,1.0,0.0
brute_force,maxsim,non_owned_known_attack,1.2523083686828613,1.0,0.0
brute_force,maxsim,benign,1.2523083686828613,1.0,0.0
brute_force,energy_head,unseen,7.157018184661865,0.9849,0.0
brute_force,energy_head,aux,7.157018184661865,0.9849,0.0
brute_force,energy_head,non_owned_known_attack,7.157018184661865,0.9849,0.0
brute_force,energy_head,benign,7.157018184661865,0.9849,0.0
tail,maxsim,unseen,12.160717010498047,0.95,1.0
tail,maxsim,aux,12.160717010498047,0.95,0.7078
tail,maxsim,non_owned_known_attack,12.160717010498047,0.95,0.9977
tail,maxsim,benign,12.160717010498047,0.95,0.4116
tail,energy_head,unseen,18.049583435058594,0.95,1.0
tail,energy_head,aux,18.049583435058594,0.95,0.6676
tail,energy_head,non_owned_known_attack,18.049583435058594,0.95,0.9983
tail,energy_head,benign,18.049583435058594,0.95,0.3933
benign,maxsim,unseen,8.6433744430542,0.95,0.0016
benign,maxsim,aux,8.6433744430542,0.95,0.611
benign,maxsim,known_attack,8.6433744430542,0.95,0.1048
benign,energy_head,unseen,14.726861953735352,0.95,0.0022
benign,energy_head,aux,14.726861953735352,0.95,0.6022
benign,energy_head,known_attack,14.726861953735352,0.95,0.1034
