expert,score,ood_role,threshold,id_retain_at_tau,ood_detect_at_tau
flood,maxsim,unseen,-0.0180689487606287,0.9571,0.0
flood,maxsim,aux,-0.0180689487606287,0.9571,0.0343
flood,maxsim,non_owned_known_attack,-0.0180689487606287,0.9571,0.0
flood,maxsim,benign,-0.0180689487606287,0.9571,0.0
flood,energy_head,unseen,6.97154426574707,0.9841,0.0
flood,energy_head,aux,6.97154426574707,0.9841,0.003
flood,energy_head,non_owned_known_attack,6.97154426574707,0.9841,0.0
flood,energy_head,benign,6.97154426574707,0.9841,0.0
brute_force,maxsim,unseen,1.281954288482666,1.0,0.0
brute_force,maxsim,aux,1.281954288482666,1.0,0.0
brute_force,maxsim,non_owned_known_attack,1.281954288482666,1.0,0.0
brute_force,maxsim,benign,1.281954288482666,1.0,0.0
brute_force,energy_head,unseen,7.272115707397461,1.0,0.0
brute_force,energy_head,aux,7.272115707397461,1.0,0.0
brute_force,energy_head,non_owned_known_attack,7.272115707397461,1.0,0.0
brute_force,energy_head,benign,7.272115707397461,1.0,0.0
tail,maxsim,unseen,10.921650886535645,0.95,0.0238
tail,maxsim,aux,10.921650886535645,0.95,0.4596
tail,maxsim,non_owned_known_attack,10.921650886535645,0.95,0.0738
tail,maxsim,benign,10.921650886535645,0.95,0.143
tail,energy_head,unseen,17.152494430541992,0.95,0.1682
tail,energy_head,aux,17.152494430541992,0.95,0.3744
tail,energy_head,non_owned_known_attack,17.152494430541992,0.95,0.0453
tail,energy_head,benign,17.152494430541992,0.95,0.126
benign,maxsim,unseen,5.841123104095459,0.95,0.0051
benign,maxsim,aux,5.841123104095459,0.95,0.1921
benign,maxsim,known_attack,5.841123104095459,0.95,0.0224
benign,energy_head,unseen,11.449000358581543,0.95,0.0048
benign,energy_head,aux,11.449000358581543,0.95,0.1952
benign,energy_head,known_attack,11.449000358581543,0.95,0.0685
