method,class,precision,recall,f1,support
system_prep,benign,0.5449477351916376,0.9775,0.6997762863534676,800
system_prep,bot,0.9987325728770595,0.985,0.9918187539332913,800
system_prep,brute_force,0.7207207207207207,1.0,0.837696335078534,800
system_prep,ddos,0.9778051787916153,0.99125,0.9844816883923029,800
system_prep,dos,0.9943396226415094,0.65875,0.7924812030075188,800
system_prep,infiltration,0.6463022508038585,0.25125,0.36183618361836184,800
system_prep,web_attacks,0.9907120743034056,0.6286836935166994,0.7692307692307693,509
system_prep,macro_avg,,,0.7767601742306064,5309
system_prep,weighted_avg,,,0.7771728803626374,5309
system_prep,tail_avg,,,0.7076285689274742,5309
global_prep_reference,benign,0.4875076173065204,1.0,0.6554690700532568,800
global_prep_reference,bot,1.0,0.99625,0.9981214777708203,800
global_prep_reference,brute_force,0.7441860465116279,1.0,0.8533333333333334,800
global_prep_reference,ddos,1.0,0.975,0.9873417721518988,800
global_prep_reference,dos,0.9937888198757764,0.6,0.7482462977396727,800
global_prep_reference,infiltration,0.7637540453074434,0.295,0.42560865644724977,800
global_prep_reference,web_attacks,1.0,0.4400785854616896,0.6111869031377899,509
global_prep_reference,macro_avg,,,0.7541867872334317,5309
global_prep_reference,weighted_avg,,,0.7620249801646488,5309
global_prep_reference,tail_avg,,,0.6783056791186199,5309
