method,class,precision,recall,f1,support
system_globroute,benign,0.9854788934820605,0.9998666828816823,0.9926206540631889,3502926
system_globroute,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
system_globroute,brute_force,1.0,0.3275034770514604,0.4934126090259043,115040
system_globroute,ddos,0.9999841464236313,0.9525544413905584,0.9756932292562952,264872
system_globroute,dos,0.999945606353178,0.6067762484734462,0.7552561034479217,60594
system_globroute,infiltration,0.019343644655958756,0.051845552868645534,0.02817511607252457,37631
system_globroute,web_attacks,0.9166666666666666,0.021611001964636542,0.04222648752399232,509
system_globroute,macro_avg,,,0.6122561584990354,4023114
system_globroute,weighted_avg,,,0.9645747903658155,4023114
system_globroute,tail_avg,,,0.35627017123331256,4023114
global_reference,benign,0.9860919817243814,0.9998604024178643,0.9929284644896597,3502926
global_reference,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_reference,brute_force,1.0,0.3275034770514604,0.4934126090259043,115040
global_reference,ddos,0.9999801934701833,0.9530527953124528,0.9759527095729092,264872
global_reference,dos,0.9999485133221779,0.6410370663762088,0.7812427719506431,60594
global_reference,infiltration,0.01935733259326805,0.05189870053944886,0.02819748345040174,37631
global_reference,web_attacks,0.6666666666666666,0.003929273084479371,0.0078125,509
global_reference,macro_avg,,,0.6111364926561341,4023114
global_reference,weighted_avg,,,0.9652471370591429,4023114
global_reference,tail_avg,,,0.3448062978512742,4023114
