method,class,precision,recall,f1,support
system_energy_split,benign,0.5424304141208418,0.99875,0.7030356357237132,800
system_energy_split,bot,1.0,0.99125,0.9956057752667922,800
system_energy_split,brute_force,0.7455565949485501,0.99625,0.8528624933119315,800
system_energy_split,ddos,1.0,0.98625,0.9930774071743235,800
system_energy_split,dos,1.0,0.49625,0.6633249791144528,800
system_energy_split,infiltration,0.8148148148148148,0.0275,0.053204353083434096,800
system_energy_split,web_attacks,0.5873850197109067,0.8781925343811395,0.7039370078740157,509
system_energy_split,macro_avg,,,0.709292521649809,5309
system_energy_split,weighted_avg,,,0.7095860711899776,5309
system_energy_split,tail_avg,,,0.5842490454080806,5309
global_reference,benign,0.4756242568370987,1.0,0.6446414182111201,800
global_reference,bot,1.0,0.99625,0.9981214777708203,800
global_reference,brute_force,0.746268656716418,1.0,0.8547008547008547,800
global_reference,ddos,1.0,0.98,0.98989898989899,800
global_reference,dos,1.0,0.64875,0.7869598180439727,800
global_reference,infiltration,0.960352422907489,0.2725,0.42453748782862705,800
global_reference,web_attacks,1.0,0.44793713163064836,0.6187245590230664,509
global_reference,macro_avg,,,0.7596549436396359,5309
global_reference,weighted_avg,,,0.7673797019601146,5309
global_reference,tail_avg,,,0.6804611748741712,5309
