method,class,precision,recall,f1,support
system_probsel_split,benign,0.9892221040748572,0.9821169502296081,0.9856567228578484,3502926
system_probsel_split,bot,0.9996138157418358,0.9969428530162245,0.9982765477926554,41542
system_probsel_split,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
system_probsel_split,ddos,0.9999842313575225,0.9576852215409707,0.9783777529216646,264872
system_probsel_split,dos,1.0,0.6069082747466746,0.7553738869660775,60594
system_probsel_split,infiltration,0.1790506303457781,0.35212989290744334,0.23739228578082733,37631
system_probsel_split,web_attacks,0.12256517830386575,0.8035363457760314,0.2126885075403016,509
system_probsel_split,macro_avg,,,0.7262342021273919,4023114
system_probsel_split,weighted_avg,,,0.9727471413125164,4023114
system_probsel_split,tail_avg,,,0.4827857803712614,4023114
global_reference,benign,0.9796663454774555,0.9998946594932351,0.9896771501039603,3502926
global_reference,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_reference,brute_force,1.0,0.3275034770514604,0.4934126090259043,115040
global_reference,ddos,0.9999781830875295,0.8652292428040714,0.9277363516390987,264872
global_reference,dos,0.9999485119967048,0.6410205630920554,0.7812305154970937,60594
global_reference,infiltration,0.01904941531497548,0.0509951901357923,0.027737426735757287,37631
global_reference,web_attacks,0.0,0.0,0.0,509
global_reference,macro_avg,,,0.6026004233007478,4023114
global_reference,weighted_avg,,,0.9592362935983908,4023114
global_reference,tail_avg,,,0.3420487789463927,4023114
