expert,class,rows,mean_delta,frac_positive
1,benign,100000,-0.06554012499407827,0.05318
1,bot,31156,1.1936339343023354,1.0
1,brute_force,86279,0.12051508597768885,1.0
1,ddos,100000,0.03866822166303109,0.99913
1,dos,45446,31.908498614917658,0.9999559917264446
1,infiltration,28224,16.134316561744786,0.9322208049886621
1,web_attacks,381,109.36100753897652,0.3858267716535433
2,benign,100000,-0.2318719769544603,0.0407
2,bot,31156,1.1279922207847215,1.0
2,brute_force,86279,1.0587826432482363,1.0
2,ddos,100000,0.035830564421559956,0.98941
2,dos,45446,-8.83605345527129,0.402829731989614
2,infiltration,28224,20.36780672260269,0.9119897959183674
2,web_attacks,381,916.7480811720599,1.0
3,benign,100000,-0.0064453937299035445,0.52327
3,bot,31156,1.1924402377576866,0.9999679034535884
3,brute_force,86279,3.5618148784589567,1.0
3,ddos,100000,0.038635806984019645,0.99775
3,dos,45446,29.79105220691124,0.9998019627690006
3,infiltration,28224,-8.508881711292037,0.25269274376417233
3,web_attacks,381,697.5019911300401,0.9553805774278216
4,benign,100000,-0.06511905053154622,0.0566
4,bot,31156,1.1936261963712866,1.0
4,brute_force,86279,56.08016207258382,1.0
4,ddos,100000,0.03889624816016545,1.0
4,dos,45446,13.386465672862576,0.7025480790388593
4,infiltration,28224,15.866048082068088,0.9385274943310657
4,web_attacks,381,945.0867247583886,1.0
