tau_pre,tau_post,proposal_rate,accepted,helpful,harmful,harm_frac,benign_fpr_added,net_gain,feasible
-73.18746185302734,0.0,0.9999,576,182,5,0.0267,0.002759,2445.7,False
-73.18746185302734,0.25,0.9999,299,178,4,0.022,0.002069,2411.6,False
-73.18746185302734,0.5,0.9999,281,178,4,0.022,0.002069,2404.6,False
-73.18746185302734,1.0,0.9999,125,58,4,0.0645,0.002069,2036.2,False
-73.18746185302734,2.0,0.9999,67,8,4,0.3333,0.002069,1896.3,False
-73.18746185302734,4.0,0.9999,51,7,3,0.3,0.002069,1759.2,False
-73.18746185302734,8.0,0.9999,22,1,2,0.6667,0.001379,469.7,False
0.0017125411308370445,0.0,0.7,357,179,4,0.0219,0.002069,1858.4,False
0.0017125411308370445,0.25,0.7,282,175,3,0.0169,0.001379,1831.5,False
0.0017125411308370445,0.5,0.7,265,175,3,0.0169,0.001379,1824.4,False
0.0017125411308370445,1.0,0.7,110,56,3,0.0508,0.001379,1457.3,False
0.0017125411308370445,2.0,0.7,57,6,3,0.3333,0.001379,1364.0,False
0.0017125411308370445,4.0,0.7,44,5,2,0.2857,0.001379,1233.6,False
0.0017125411308370445,8.0,0.7,20,1,1,0.5,0.00069,466.2,False
0.12961146235466003,0.0,0.5,312,174,4,0.0225,0.002069,1368.3,False
0.12961146235466003,0.25,0.5,273,170,3,0.0173,0.001379,1342.4,False
0.12961146235466003,0.5,0.5,257,170,3,0.0173,0.001379,1335.4,False
0.12961146235466003,1.0,0.5,105,54,3,0.0526,0.001379,979.0,False
0.12961146235466003,2.0,0.5,53,4,3,0.4286,0.001379,900.4,False
0.12961146235466003,4.0,0.5,41,3,2,0.4,0.001379,774.6,False
0.12961146235466003,8.0,0.5,20,1,1,0.5,0.00069,466.2,False
3.3231445312499956,0.0,0.4,62,23,3,0.1154,0.001379,629.2,False
3.3231445312499956,0.25,0.4,60,21,3,0.125,0.001379,619.0,False
3.3231445312499956,0.5,0.4,60,21,3,0.125,0.001379,619.0,False
3.3231445312499956,1.0,0.4,42,3,3,0.5,0.001379,553.8,False
3.3231445312499956,2.0,0.4,40,3,3,0.5,0.001379,554.4,False
3.3231445312499956,4.0,0.4,29,2,2,0.5,0.001379,430.6,False
3.3231445312499956,8.0,0.4,16,0,1,1.0,0.00069,199.9,False
5.48448920249939,0.0,0.3,33,2,2,0.5,0.001379,443.8,False
5.48448920249939,0.25,0.3,33,2,2,0.5,0.001379,443.8,False
5.48448920249939,0.5,0.3,33,2,2,0.5,0.001379,443.8,False
5.48448920249939,1.0,0.3,33,2,2,0.5,0.001379,443.8,False
5.48448920249939,2.0,0.3,31,2,2,0.5,0.001379,444.3,False
5.48448920249939,4.0,0.3,22,1,2,0.6667,0.001379,326.0,False
5.48448920249939,8.0,0.3,12,0,1,1.0,0.00069,153.0,False
29.03550910949707,0.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.25,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.5,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,1.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,2.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,4.0,0.0011,0,0,0,0.0,0.0,0.0,False
29.03550910949707,8.0,0.0011,0,0,0,0.0,0.0,0.0,False
29.03550910949707,0.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.25,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.5,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,1.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,2.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,4.0,0.0011,0,0,0,0.0,0.0,0.0,False
29.03550910949707,8.0,0.0011,0,0,0,0.0,0.0,0.0,False
29.03550910949707,0.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.25,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,0.5,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,1.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,2.0,0.0011,4,1,0,0.0,0.0,55.1,False
29.03550910949707,4.0,0.0011,0,0,0,0.0,0.0,0.0,False
29.03550910949707,8.0,0.0011,0,0,0,0.0,0.0,0.0,False
