run,item,value,note
20260827_011706_nfv3_cic2018_exp23b_greedy,expert1_solo_recovery,0.925865,share of full-bank oracle utility recovered alone
20260827_011706_nfv3_cic2018_exp23b_greedy,expert2_solo_recovery,0.977656,share of full-bank oracle utility recovered alone
20260827_011706_nfv3_cic2018_exp23b_greedy,expert1_shared_variance_share,0.951155,fraction of gain variance that is the shared global term
20260827_011706_nfv3_cic2018_exp23b_greedy,expert2_shared_variance_share,1.041802,fraction of gain variance that is the shared global term
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_benign,1.2e-05,n=100000
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_benign,0.703039,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_bot,0.0056,n=31156
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_bot,1.0,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_brute_force,0.067319,n=86279
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_brute_force,0.001762,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_ddos,0.002103,n=100000
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_ddos,0.991632,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_dos,0.53854,n=45446
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_dos,0.99967,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_infiltration,0.231774,n=28224
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_infiltration,0.983991,"positive-gain set overlap, within class"
20260827_011706_nfv3_cic2018_exp23b_greedy,utility_share_web_attacks,0.154652,n=381
20260827_011706_nfv3_cic2018_exp23b_greedy,posJaccard_e1e2_web_attacks,1.0,"positive-gain set overlap, within class"
