method,class,precision,recall,f1,support
racepfn_system,benign,0.47339593114241,0.605,0.5311676909569798,2000
racepfn_system,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
racepfn_system,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
racepfn_system,ddos,1.0,0.9955,0.9977449260836883,2000
racepfn_system,dos,1.0,0.395,0.5663082437275986,2000
racepfn_system,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
racepfn_system,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
racepfn_system,macro_avg,,,0.7709644490245134,12509
racepfn_system,weighted_avg,,,0.761417069000753,12509
racepfn_system,tail_avg,,,0.8770659551691834,12509
global_tabpfn,benign,0.47339593114241,0.605,0.5311676909569798,2000
global_tabpfn,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
global_tabpfn,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
global_tabpfn,ddos,1.0,0.9955,0.9977449260836883,2000
global_tabpfn,dos,1.0,0.395,0.5663082437275986,2000
global_tabpfn,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
global_tabpfn,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
global_tabpfn,macro_avg,,,0.7709644490245134,12509
global_tabpfn,weighted_avg,,,0.761417069000753,12509
global_tabpfn,tail_avg,,,0.8770659551691834,12509
global_raw,benign,0.47339593114241,0.605,0.5311676909569798,2000
global_raw,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
global_raw,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
global_raw,ddos,1.0,0.9955,0.9977449260836883,2000
global_raw,dos,1.0,0.395,0.5663082437275986,2000
global_raw,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
global_raw,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
global_raw,macro_avg,,,0.7709644490245134,12509
global_raw,weighted_avg,,,0.761417069000753,12509
global_raw,tail_avg,,,0.8770659551691834,12509
dense_oracle,benign,0.9651162790697675,0.9545,0.9597787833081951,2000
dense_oracle,bot,1.0,0.9985,0.9992494370778083,2000
dense_oracle,brute_force,1.0,1.0,1.0,2000
dense_oracle,ddos,1.0,1.0,1.0,2000
dense_oracle,dos,1.0,1.0,1.0,2000
dense_oracle,infiltration,0.9554455445544554,0.965,0.9601990049751243,2000
dense_oracle,web_attacks,0.9863813229571985,0.9960707269155207,0.9912023460410557,509
dense_oracle,macro_avg,,,0.9872042244860263,12509
dense_oracle,weighted_avg,,,0.9867276716649734,12509
dense_oracle,tail_avg,,,0.9835502626979961,12509
route_nearest_centroid,benign,0.48632521133764295,0.489,0.487658937920718,2000
route_nearest_centroid,bot,0.9845463609172482,0.9875,0.9860209685471792,2000
route_nearest_centroid,brute_force,0.9969742813918305,0.3295,0.49530251785043217,2000
route_nearest_centroid,ddos,0.9894736842105263,0.987,0.9882352941176471,2000
route_nearest_centroid,dos,0.5753214941824862,0.9395,0.7136346372958602,2000
route_nearest_centroid,infiltration,0.5325325325325325,0.532,0.5322661330665333,2000
route_nearest_centroid,web_attacks,0.7307692307692307,0.8212180746561886,0.7733580018501388,509
route_nearest_centroid,macro_avg,,,0.710925212949787,12509
route_nearest_centroid,weighted_avg,,,0.7034835878598177,12509
route_nearest_centroid,tail_avg,,,0.7638817011546171,12509
route_top1_noverify,benign,0.5578489951113526,0.5135,0.534756573808904,2000
route_top1_noverify,bot,0.9929612870789342,0.9875,0.9902231135622963,2000
route_top1_noverify,brute_force,0.6673296867230234,0.671,0.6691598105210671,2000
route_top1_noverify,ddos,0.9608418991678903,0.9815,0.9710610932475884,2000
route_top1_noverify,dos,0.9467054263565892,0.4885,0.6444591029023746,2000
route_top1_noverify,infiltration,0.45343043311613646,0.5915,0.513343458450857,2000
route_top1_noverify,web_attacks,0.4867886178861789,0.9410609037328095,0.6416610850636303,509
route_top1_noverify,macro_avg,,,0.7092377482223882,12509
route_top1_noverify,weighted_avg,,,0.7172924931875899,12509
route_top1_noverify,tail_avg,,,0.7150758856922613,12509
oracle_random_bank,benign,0.9331495520330806,0.677,0.7847000869313242,2000
oracle_random_bank,bot,1.0,0.9985,0.9992494370778083,2000
oracle_random_bank,brute_force,0.9995002498750625,1.0,0.9997500624843789,2000
oracle_random_bank,ddos,0.9995002498750625,1.0,0.9997500624843789,2000
oracle_random_bank,dos,0.9994977398292315,0.995,0.9972437985467302,2000
oracle_random_bank,infiltration,0.748646558391338,0.968,0.8443087658089838,2000
oracle_random_bank,web_attacks,0.9875518672199171,0.9351669941060904,0.9606458123107972,509
oracle_random_bank,macro_avg,,,0.940806860806343,12509
oracle_random_bank,weighted_avg,,,0.9384421732459353,12509
oracle_random_bank,tail_avg,,,0.9347346717325298,12509
oracle_proximity_bank,benign,0.937007874015748,0.8925,0.9142125480153649,2000
oracle_proximity_bank,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
oracle_proximity_bank,brute_force,0.7518796992481203,1.0,0.8583690987124464,2000
oracle_proximity_bank,ddos,1.0,1.0,1.0,2000
oracle_proximity_bank,dos,0.9970238095238095,0.67,0.8014354066985646,2000
oracle_proximity_bank,infiltration,0.8971291866028708,0.9375,0.9168704156479217,2000
oracle_proximity_bank,web_attacks,0.978515625,0.9842829076620825,0.9813907933398629,509
oracle_proximity_bank,macro_avg,,,0.9244682517377194,12509
oracle_proximity_bank,weighted_avg,,,0.9176834160571057,12509
oracle_proximity_bank,tail_avg,,,0.9657535695792198,12509
