round,expert,tune_pos_coverage,marginal,action
1,1,0.6776,-0.0009,removed
1,2,0.5421,0.0,kept
1,3,0.414,0.0019,kept
1,4,0.3985,0.0226,kept
1,5,0.7259,0.0003,kept
1,6,0.144,0.0014,kept
1,7,0.4982,0.0001,kept
1,8,0.5086,0.0,kept
2,2,0.5421,0.0,kept
2,3,0.414,-0.0146,removed
2,4,0.3985,0.0227,kept
2,5,0.7259,0.0003,kept
2,6,0.144,0.0015,kept
2,7,0.4982,0.0001,kept
2,8,0.5086,0.0,kept
3,2,0.5421,0.0001,removed
3,4,0.3985,0.025,kept
3,5,0.7259,0.0009,kept
3,6,0.144,0.002,kept
3,7,0.4982,0.005,kept
3,8,0.5086,0.0004,kept
4,4,0.3985,0.0263,kept
4,5,0.7259,0.001,kept
4,6,0.144,0.002,kept
4,7,0.4982,0.0054,kept
4,8,0.5086,0.0004,removed
5,4,0.3985,0.0278,kept
5,5,0.7259,0.001,removed
5,6,0.144,0.002,kept
5,7,0.4982,0.0099,kept
6,4,0.3985,0.03,kept
6,6,0.144,0.0021,kept
6,7,0.4982,0.0138,kept
