run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,1.0,4023114,0.307558,7,0.030882,0.674459
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.99,3982883,0.268726,7,0.024168,0.727202
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.97,3902421,0.35345,7,0.02329,0.62104
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.95,3821958,0.322607,7,0.020415,0.599662
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.9,3620803,0.30881,7,0.019553,0.603389
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.8,3218491,0.299038,7,0.01819,0.607839
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.7,2816180,0.293964,7,0.005854,0.613938
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.5,2011557,0.265257,7,0.003393,0.637226
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,0.3,1206934,0.241338,6,0.000492,0.67198
20260827_023651_nfv3_cic2018_exp23c_anchor,system_maxprob,AURC_balanced,4023114,0.198273,7,,
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,1.0,4023114,0.34357,7,0.038918,0.671112
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.99,3982883,0.325333,7,0.033841,0.701617
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.97,3902421,0.404893,7,0.031575,0.599145
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.95,3821958,0.388088,7,0.026363,0.568471
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.9,3620803,0.339065,7,0.021239,0.593766
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.8,3218491,0.305426,7,0.01908,0.605497
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.7,2816180,0.296923,7,0.006373,0.612863
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.5,2011557,0.266344,7,0.003447,0.636773
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,0.3,1206934,0.2409,6,0.000486,0.67229
20260827_023651_nfv3_cic2018_exp23c_anchor,global_maxprob,AURC_balanced,4023114,0.206149,7,,
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,1.0,4023114,0.307558,7,0.030882,0.674459
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.99,3982883,0.261522,7,0.025725,0.706348
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.97,3902421,0.329825,7,0.025871,0.59824
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.95,3821958,0.280842,7,0.020508,0.606038
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.9,3620803,0.350829,7,0.015898,0.532446
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.8,3218491,0.447291,7,0.006226,0.461142
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.7,2816180,0.447321,7,0.006945,0.461186
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.5,2011557,0.447371,7,0.008928,0.46148
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,0.3,1206934,0.447502,7,0.013616,0.461985
20260827_023651_nfv3_cic2018_exp23c_anchor,system_glower,AURC_balanced,4023114,0.29425,7,,
