round,expert,tune_pos_coverage,marginal,action
1,1,0.5952,0.0,kept
1,2,0.6045,0.0,kept
1,3,0.3613,0.0,removed
1,4,0.3339,0.0333,kept
1,5,0.6903,0.0,kept
1,6,0.5391,0.0627,kept
1,7,0.4098,0.0,kept
1,8,0.2254,0.0,kept
2,1,0.5952,0.0,kept
2,2,0.6045,0.0,kept
2,4,0.3339,0.0333,kept
2,5,0.6903,0.0,kept
2,6,0.5391,0.0627,kept
2,7,0.4098,0.0,removed
2,8,0.2254,0.0226,kept
3,1,0.5952,0.0,removed
3,2,0.6045,0.0,kept
3,4,0.3339,0.0333,kept
3,5,0.6903,0.0,kept
3,6,0.5391,0.0627,kept
3,8,0.2254,0.0226,kept
4,2,0.6045,0.0,removed
4,4,0.3339,0.0337,kept
4,5,0.6903,0.0,kept
4,6,0.5391,0.0628,kept
4,8,0.2254,0.0226,kept
5,4,0.3339,0.0337,kept
5,5,0.6903,0.0,removed
5,6,0.5391,0.0628,kept
5,8,0.2254,0.0226,kept
6,4,0.3339,0.0341,kept
6,6,0.5391,0.0629,kept
6,8,0.2254,0.0226,kept
