run,item,value,note
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert1_solo_recovery,0.885954,share of full-bank oracle utility recovered alone
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert2_solo_recovery,0.674863,share of full-bank oracle utility recovered alone
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert3_solo_recovery,0.179237,share of full-bank oracle utility recovered alone
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert1_shared_variance_share,0.335016,fraction of gain variance that is the shared global term
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert2_shared_variance_share,1.618553,fraction of gain variance that is the shared global term
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,expert3_shared_variance_share,0.293603,fraction of gain variance that is the shared global term
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_benign,0.000133,n=100000
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_benign,0.041904,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_bot,0.000541,n=31156
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_bot,0.476816,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_brute_force,0.582224,n=86279
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_brute_force,1.0,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_ddos,0.000202,n=100000
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_ddos,0.034898,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_dos,0.184883,n=45446
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_dos,0.776117,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_infiltration,0.154839,n=28224
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_infiltration,0.09853,"positive-gain set overlap, within class"
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,utility_share_web_attacks,0.077179,n=381
20260827_035659_nfv3_cic2018_exp23d_anchmode_natural,posJaccard_e1e2_web_attacks,0.057692,"positive-gain set overlap, within class"
