expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.47440227016933123,0.00042
1,bot,31156,0.5882251051017164,0.9935806907176787
1,brute_force,86279,3.850611182014682,1.0
1,ddos,100000,-0.06828029492152689,0.0
1,dos,45446,11.79047966941577,0.7099634731329489
1,infiltration,28224,15.968389487168311,0.9308390022675737
1,web_attacks,381,841.6781218312213,1.0
2,benign,100000,-0.10007637995724188,0.00653
2,bot,31156,0.9591335300531705,1.0
2,brute_force,86279,8.425329292149003,1.0
2,ddos,100000,0.002623521945143498,0.69089
2,dos,45446,25.419699394308434,0.984839149760155
2,infiltration,28224,2.82786432347295,0.5316043083900227
2,web_attacks,381,144.92384976789975,0.3910761154855643
3,benign,100000,0.010195851709721152,0.67126
3,bot,31156,-0.33072680543106103,0.0
3,brute_force,86279,2.244261434993176,1.0
3,ddos,100000,-0.8514500430267217,0.0
3,dos,45446,22.81708013370648,0.9470580469128196
3,infiltration,28224,-16.195687604132203,0.017928004535147393
3,web_attacks,381,277.206874338684,0.48031496062992124
