method,class,precision,recall,f1,support
racepfn_system,benign,0.9731918341195915,0.985192379171013,0.9791553383031777,3502926
racepfn_system,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
racepfn_system,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
racepfn_system,ddos,0.9989686408840694,0.9105530218369627,0.9527138994392663,264872
racepfn_system,dos,0.9961645483943746,0.43720500379575533,0.6076983071064825,60594
racepfn_system,infiltration,0.20277986947791166,0.3434933964019027,0.25501356350184956,37631
racepfn_system,web_attacks,0.047823650289557255,0.5029469548133595,0.08734220402592972,509
racepfn_system,macro_avg,,,0.657842653883674,4023114
racepfn_system,weighted_avg,,,0.9578522518199001,4023114
racepfn_system,tail_avg,,,0.44692557076968736,4023114
global_tabpfn,benign,0.9700750449794855,0.985252900004168,0.9776050649096635,3502926
global_tabpfn,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_tabpfn,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_tabpfn,ddos,0.9989521466324088,0.8998044338397415,0.9467896832884767,264872
global_tabpfn,dos,0.9997761862130707,0.3686008515694623,0.5386210721778764,60594
global_tabpfn,infiltration,0.20764325071083195,0.3434933964019027,0.25882541398850645,37631
global_tabpfn,web_attacks,0.1075407026563839,0.4931237721021611,0.176574041505452,509
global_tabpfn,macro_avg,,,0.6601986486684267,4023114
global_tabpfn,weighted_avg,,,0.955118932510563,4023114
global_tabpfn,tail_avg,,,0.4779401334250804,4023114
global_raw,benign,0.9700750449794855,0.985252900004168,0.9776050649096635,3502926
global_raw,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_raw,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_raw,ddos,0.9989521466324088,0.8998044338397415,0.9467896832884767,264872
global_raw,dos,0.9997761862130707,0.3686008515694623,0.5386210721778764,60594
global_raw,infiltration,0.20764325071083195,0.3434933964019027,0.25882541398850645,37631
global_raw,web_attacks,0.1075407026563839,0.4931237721021611,0.176574041505452,509
global_raw,macro_avg,,,0.6601986486684267,4023114
global_raw,weighted_avg,,,0.955118932510563,4023114
global_raw,tail_avg,,,0.4779401334250804,4023114
dense_oracle,benign,0.9998480848988394,0.99957121560661,0.9997096310830076,3502926
dense_oracle,bot,0.9999517188103515,0.9971113571806846,0.9985295181158547,41542
dense_oracle,brute_force,1.0,0.6723226703755215,0.8040585495675316,115040
dense_oracle,ddos,0.9996603286509009,1.0,0.9998301354763945,264872
dense_oracle,dos,0.9997335908621666,0.9908901871472423,0.9952922454662998,60594
dense_oracle,infiltration,0.9947191550648103,0.9910977651404427,0.9929051580698836,37631
dense_oracle,web_attacks,0.012714414685525128,0.9960707269155207,0.025108332301597126,509
dense_oracle,macro_avg,,,0.8307762242972242,4023114
dense_oracle,weighted_avg,,,0.9938572976219542,4023114
dense_oracle,tail_avg,,,0.6721810028291118,4023114
route_nearest_centroid,benign,0.9846226659949007,0.09205418555801635,0.16836739355804492,3502926
route_nearest_centroid,bot,0.9942338572332247,0.9837032400943624,0.9889405159479212,41542
route_nearest_centroid,brute_force,0.0,0.0,0.0,115040
route_nearest_centroid,ddos,0.9939217199225369,0.9920905191941768,0.993005275329897,264872
route_nearest_centroid,dos,0.3887524221839635,0.890632735914447,0.5412531655091142,60594
route_nearest_centroid,infiltration,0.011862285897596364,0.979697589753129,0.023440748639028876,37631
route_nearest_centroid,web_attacks,0.0023780466543463856,0.6699410609037328,0.004739270624861018,509
route_nearest_centroid,macro_avg,,,0.3885351956584096,4023114
route_nearest_centroid,weighted_avg,,,0.23055811643891766,4023114
route_nearest_centroid,tail_avg,,,0.339040178403937,4023114
route_top1_noverify,benign,0.9823014131323056,0.3054003995516891,0.4659389947203787,3502926
route_top1_noverify,bot,0.9948958610513075,0.9900341822733619,0.9924590678201276,41542
route_top1_noverify,brute_force,0.0,0.0,0.0,115040
route_top1_noverify,ddos,0.9926671207395812,0.9409073061705276,0.9660944347424957,264872
route_top1_noverify,dos,0.3762446818998794,0.8187609334257517,0.5155698734769166,60594
route_top1_noverify,infiltration,0.015510300784346526,0.9707422072227685,0.030532756055565772,37631
route_top1_noverify,web_attacks,0.0032217578635475564,0.9783889980353635,0.006422367377468839,509
route_top1_noverify,macro_avg,,,0.42528821345613627,4023114
route_top1_noverify,weighted_avg,,,0.4875980662680594,4023114
route_top1_noverify,tail_avg,,,0.3431380637510541,4023114
oracle_random_bank,benign,0.9872823155594489,0.9993137165900735,0.9932615832498645,3502926
oracle_random_bank,bot,0.9999034306269766,0.9969909970632131,0.9984450899798706,41542
oracle_random_bank,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
oracle_random_bank,ddos,1.0,0.9220076112235344,0.959421394420589,264872
oracle_random_bank,dos,0.9999485927258707,0.6420272634254217,0.7819777083186765,60594
oracle_random_bank,infiltration,0.9772584583188001,0.3722728601419043,0.5391602201439403,37631
oracle_random_bank,web_attacks,0.16633266533066132,0.8153241650294696,0.2762982689747004,509
oracle_random_bank,macro_avg,,,0.7806339965885727,4023114
oracle_random_bank,weighted_avg,,,0.9813537815026367,4023114
oracle_random_bank,tail_avg,,,0.6046345263661704,4023114
oracle_proximity_bank,benign,0.9946808874225601,0.9970053606613443,0.9958417676094712,3502926
oracle_proximity_bank,bot,1.0,0.9971113571806846,0.9985535895087025,41542
oracle_proximity_bank,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
oracle_proximity_bank,ddos,1.0,0.9948692198495878,0.9974280117717195,264872
oracle_proximity_bank,dos,0.999640380169535,0.6422418061194177,0.7820425224066557,60594
oracle_proximity_bank,infiltration,0.7119416278432448,0.552284021152773,0.6220313365158703,37631
oracle_proximity_bank,web_attacks,0.17939609236234458,0.9921414538310412,0.3038507821901324,509
oracle_proximity_bank,macro_avg,,,0.8022316744335599,4023114
oracle_proximity_bank,weighted_avg,,,0.9868833452860096,4023114
oracle_proximity_bank,tail_avg,,,0.6414785694049018,4023114
