method,class,precision,recall,f1,support
racepfn_system,benign,0.9698904406757795,0.9957989406570393,0.9826739489465696,3502926
racepfn_system,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
racepfn_system,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
racepfn_system,ddos,0.9999426575153942,0.8558662297260563,0.9223117295252045,264872
racepfn_system,dos,0.9997609485561293,0.34510017493481204,0.5130904183535763,60594
racepfn_system,infiltration,0.48926343084028845,0.3209056363104887,0.3875916742894741,37631
racepfn_system,web_attacks,0.016140205042948184,0.4577603143418468,0.031180996988959517,509
racepfn_system,macro_avg,,,0.6514034332732567,4023114
racepfn_system,weighted_avg,,,0.9587223588013852,4023114
racepfn_system,tail_avg,,,0.4723978720199055,4023114
global_tabpfn,benign,0.9660270104555709,0.9958032227914606,0.9806891483399083,3502926
global_tabpfn,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_tabpfn,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_tabpfn,ddos,0.9999466353594109,0.8489232534960283,0.9182668354637155,264872
global_tabpfn,dos,0.9999023675860386,0.3380367693170941,0.5052603016810765,60594
global_tabpfn,infiltration,0.48936601174802513,0.32101193165209535,0.38770139290069966,37631
global_tabpfn,web_attacks,0.09804772234273319,0.444007858546169,0.16062544420753375,509
global_tabpfn,macro_avg,,,0.6679311982002779,4023114
global_tabpfn,weighted_avg,,,0.9566273570503275,4023114
global_tabpfn,tail_avg,,,0.5155825939631721,4023114
global_raw,benign,0.9660270104555709,0.9958032227914606,0.9806891483399083,3502926
global_raw,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_raw,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_raw,ddos,0.9999466353594109,0.8489232534960283,0.9182668354637155,264872
global_raw,dos,0.9999023675860386,0.3380367693170941,0.5052603016810765,60594
global_raw,infiltration,0.48936601174802513,0.32101193165209535,0.38770139290069966,37631
global_raw,web_attacks,0.09804772234273319,0.444007858546169,0.16062544420753375,509
global_raw,macro_avg,,,0.6679311982002779,4023114
global_raw,weighted_avg,,,0.9566273570503275,4023114
global_raw,tail_avg,,,0.5155825939631721,4023114
dense_oracle,benign,0.998568848507483,0.9999197813485069,0.999243858328064,3502926
dense_oracle,bot,1.0,0.9970632131336961,0.998529447216798,41542
dense_oracle,brute_force,1.0,0.6723226703755215,0.8040585495675316,115040
dense_oracle,ddos,0.9999773040202146,0.9980594400314114,0.9990174515716996,264872
dense_oracle,dos,0.9983493672574487,0.9881836485460607,0.9932404973003458,60594
dense_oracle,infiltration,0.9916669103242596,0.90127820148282,0.9443145116382671,37631
dense_oracle,web_attacks,0.011823925753087067,0.8860510805500982,0.023336437959225912,509
dense_oracle,macro_avg,,,0.8231058219402759,4023114
dense_oracle,weighted_avg,,,0.9929126145261402,4023114
dense_oracle,tail_avg,,,0.6553934656047636,4023114
route_nearest_centroid,benign,0.9746729135135993,0.59602772082539,0.7397107539034405,3502926
route_nearest_centroid,bot,0.9992418498862775,0.9835347359299023,0.9913260787810411,41542
route_nearest_centroid,brute_force,0.0,0.0,0.0,115040
route_nearest_centroid,ddos,0.9986172712641768,0.9979461777764355,0.9982816117348924,264872
route_nearest_centroid,dos,0.38276583390997954,0.7942040466052744,0.5165708642611407,60594
route_nearest_centroid,infiltration,0.022792969100669695,0.8771225851027079,0.04443134222175557,37631
route_nearest_centroid,web_attacks,0.12974683544303797,0.4027504911591356,0.19626615605552897,509
route_nearest_centroid,macro_avg,,,0.49808382956539987,4023114
route_nearest_centroid,weighted_avg,,,0.7282477050408587,4023114
route_nearest_centroid,tail_avg,,,0.41067452568610857,4023114
route_top1_noverify,benign,0.9927403524288311,0.5985718796229209,0.7468382970508345,3502926
route_top1_noverify,bot,0.9993884988870679,0.9835347359299023,0.9913982408249924,41542
route_top1_noverify,brute_force,0.0,0.0,0.0,115040
route_top1_noverify,ddos,0.9989179050642043,0.9932835482799239,0.9960927591102697,264872
route_top1_noverify,dos,0.39964229858003375,0.8518500181536126,0.5440469665668873,60594
route_top1_noverify,infiltration,0.0228246018419049,0.8723127208950068,0.04448522037977634,37631
