run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,1.0,4023114,0.30255,7,0.050732,0.672141
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.99,3982883,0.29484,7,0.047201,0.676706
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.97,3902421,0.291025,7,0.038965,0.688903
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.95,3821958,0.287397,7,0.035394,0.698255
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.9,3620803,0.20872,7,0.023977,0.765811
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.8,3218491,0.305512,7,0.021663,0.626323
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.7,2816180,0.289074,7,0.018949,0.619956
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.5,2011557,0.248159,7,0.002926,0.649261
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,0.3,1206934,0.058143,6,0.002058,0.711909
20260827_144730_nfv3_cic2018_exp24a_regprune,system_maxprob,AURC_balanced,4023114,0.166827,7,,
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,1.0,4023114,0.330593,7,0.053843,0.646077
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.99,3982883,0.32394,7,0.050347,0.649894
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.97,3902421,0.320522,7,0.042167,0.66183
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.95,3821958,0.317187,7,0.038664,0.670912
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.9,3620803,0.254039,7,0.026709,0.738314
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.8,3218491,0.325894,7,0.022752,0.615172
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.7,2816180,0.297679,7,0.019409,0.615313
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.5,2011557,0.249976,7,0.002985,0.648325
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,0.3,1206934,0.058657,6,0.002069,0.711337
20260827_144730_nfv3_cic2018_exp24a_regprune,global_maxprob,AURC_balanced,4023114,0.176179,7,,
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,1.0,4023114,0.30255,7,0.050732,0.672141
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.99,3982883,0.261221,7,0.049323,0.670983
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.97,3902421,0.236799,7,0.041407,0.682956
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.95,3821958,0.238031,7,0.035065,0.578111
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.9,3620803,0.289245,7,0.033113,0.568904
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.8,3218491,0.277329,6,0.023629,0.494304
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.7,2816180,0.277353,6,0.023762,0.494788
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.5,2011557,0.277287,6,0.023337,0.497815
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,0.3,1206934,0.277222,6,0.02287,0.502249
20260827_144730_nfv3_cic2018_exp24a_regprune,system_glower,AURC_balanced,4023114,0.192707,7,,
