method,class,precision,recall,f1,support
racepfn_system,benign,0.47339593114241,0.605,0.5311676909569798,2000
racepfn_system,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
racepfn_system,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
racepfn_system,ddos,1.0,0.9955,0.9977449260836883,2000
racepfn_system,dos,1.0,0.395,0.5663082437275986,2000
racepfn_system,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
racepfn_system,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
racepfn_system,macro_avg,,,0.7709644490245134,12509
racepfn_system,weighted_avg,,,0.761417069000753,12509
racepfn_system,tail_avg,,,0.8770659551691834,12509
global_tabpfn,benign,0.47339593114241,0.605,0.5311676909569798,2000
global_tabpfn,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
global_tabpfn,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
global_tabpfn,ddos,1.0,0.9955,0.9977449260836883,2000
global_tabpfn,dos,1.0,0.395,0.5663082437275986,2000
global_tabpfn,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
global_tabpfn,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
global_tabpfn,macro_avg,,,0.7709644490245134,12509
global_tabpfn,weighted_avg,,,0.761417069000753,12509
global_tabpfn,tail_avg,,,0.8770659551691834,12509
global_raw,benign,0.47339593114241,0.605,0.5311676909569798,2000
global_raw,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
global_raw,brute_force,0.6701649175412294,0.6705,0.670332416895776,2000
global_raw,ddos,1.0,0.9955,0.9977449260836883,2000
global_raw,dos,1.0,0.395,0.5663082437275986,2000
global_raw,infiltration,0.6908881199538639,0.8985,0.7811345359704412,2000
global_raw,web_attacks,0.8041958041958042,0.9037328094302554,0.851063829787234,509
global_raw,macro_avg,,,0.7709644490245134,12509
global_raw,weighted_avg,,,0.761417069000753,12509
global_raw,tail_avg,,,0.8770659551691834,12509
dense_oracle,benign,0.9378499440089586,0.8375,0.8848388800845219,2000
dense_oracle,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
dense_oracle,brute_force,1.0,1.0,1.0,2000
dense_oracle,ddos,1.0,1.0,1.0,2000
dense_oracle,dos,1.0,0.9905,0.995227329816629,2000
dense_oracle,infiltration,0.8529544429409112,0.9455,0.896846099122599,2000
dense_oracle,web_attacks,0.9582542694497154,0.9921414538310412,0.974903474903475,509
dense_oracle,macro_avg,,,0.9644021833824429,12509
dense_oracle,weighted_avg,,,0.9631504905486545,12509
dense_oracle,tail_avg,,,0.9569163579253163,12509
route_nearest_centroid,benign,0.6402061855670103,0.621,0.6304568527918781,2000
route_nearest_centroid,bot,0.9974987493746873,0.997,0.997249312328082,2000
route_nearest_centroid,brute_force,1.0,0.3295,0.4956750658142159,2000
route_nearest_centroid,ddos,0.9940357852882704,1.0,0.9970089730807578,2000
route_nearest_centroid,dos,0.5954175459752789,0.9875,0.7429001316531879,2000
route_nearest_centroid,infiltration,0.643141153081511,0.647,0.6450648055832503,2000
route_nearest_centroid,web_attacks,0.8614035087719298,0.9646365422396856,0.9101019462465245,509
route_nearest_centroid,macro_avg,,,0.7740652982139853,12509
route_nearest_centroid,weighted_avg,,,0.7578505214759154,12509
route_nearest_centroid,tail_avg,,,0.8508053547192856,12509
route_top1_noverify,benign,0.6850886339937435,0.657,0.6707503828483921,2000
route_top1_noverify,bot,0.997,0.997,0.997,2000
route_top1_noverify,brute_force,1.0,0.3295,0.4956750658142159,2000
route_top1_noverify,ddos,0.9995002498750625,1.0,0.9997500624843789,2000
route_top1_noverify,dos,0.5948795180722891,0.9875,0.7424812030075187,2000
route_top1_noverify,infiltration,0.6792545365375184,0.6925,0.6858133201287447,2000
route_top1_noverify,web_attacks,0.8741258741258742,0.9823182711198428,0.9250693802035153,509
route_top1_noverify,macro_avg,,,0.7880770592123951,12509
route_top1_noverify,weighted_avg,,,0.7717483718194971,12509
route_top1_noverify,tail_avg,,,0.8692942334440866,12509
oracle_random_bank,benign,0.9126984126984127,0.6325,0.7471943295924395,2000
oracle_random_bank,bot,1.0,0.9985,0.9992494370778083,2000
oracle_random_bank,brute_force,0.7515971439308531,1.0,0.8581849388543231,2000
oracle_random_bank,ddos,1.0,0.9965,0.9982469321312296,2000
oracle_random_bank,dos,1.0,0.67,0.8023952095808383,2000
oracle_random_bank,infiltration,0.7179977072984334,0.9395,0.813948451375352,2000
oracle_random_bank,web_attacks,0.9631067961165048,0.9744597249508841,0.96875,509
oracle_random_bank,macro_avg,,,0.8839956140874273,12509
oracle_random_bank,weighted_avg,,,0.8738933845410491,12509
oracle_random_bank,tail_avg,,,0.9273159628177202,12509
oracle_proximity_bank,benign,0.8902925531914894,0.6695,0.764269406392694,2000
oracle_proximity_bank,bot,0.9994994994994995,0.9985,0.9989994997498749,2000
oracle_proximity_bank,brute_force,0.7518796992481203,1.0,0.8583690987124464,2000
oracle_proximity_bank,ddos,1.0,1.0,1.0,2000
oracle_proximity_bank,dos,1.0,0.6605,0.7955435109906654,2000
oracle_proximity_bank,infiltration,0.7370517928286853,0.925,0.8203991130820399,2000
oracle_proximity_bank,web_attacks,0.9670542635658915,0.9803536345776032,0.9736585365853658,509
oracle_proximity_bank,macro_avg,,,0.8873198807875838,12509
oracle_proximity_bank,weighted_avg,,,0.8770288154910378,12509
oracle_proximity_bank,tail_avg,,,0.9310190498057601,12509
