expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.19769898803277974,0.01406
1,bot,31156,-0.1384777468715542,3.209654641160611e-05
1,brute_force,86279,0.29437828268138083,0.9351638289734466
1,ddos,100000,-0.0041844787406811945,0.18453
1,dos,45446,-7.307440974897522,0.3656867491088325
1,infiltration,28224,22.66426793596971,0.563952664399093
1,web_attacks,381,937.3293409838326,1.0
2,benign,100000,-0.07492618091389992,0.00327
2,bot,31156,0.006856148838961848,1.0
2,brute_force,86279,1.742733944010172,1.0
2,ddos,100000,-0.0017180238688911692,0.731
2,dos,45446,30.77086307787111,0.9777318135809532
2,infiltration,28224,19.37351705413639,0.9147179705215419
2,web_attacks,381,1039.1056827378268,1.0
3,benign,100000,-0.07532282959809555,0.00552
3,bot,31156,-0.09256389859194199,0.00035306201052766724
3,brute_force,86279,2.2938525784996866,1.0
3,ddos,100000,-0.005655422888511739,0.00024
3,dos,45446,32.01799235394416,0.9899441094925846
3,infiltration,28224,17.81925353427795,0.560374149659864
3,web_attacks,381,432.0166184639652,0.3805774278215223
4,benign,100000,-0.07611782288867462,0.00401
4,bot,31156,-0.04277139852169352,0.0013480549492874566
4,brute_force,86279,-0.009174467379517881,0.09260654388669318
4,ddos,100000,-0.0014426543634886446,0.22035
4,dos,45446,4.3932388714142325,0.5541521806099546
4,infiltration,28224,18.547447647868463,0.5706845238095238
4,web_attacks,381,991.7150793842384,1.0
5,benign,100000,-0.044855391111416155,0.00837
5,bot,31156,-2.423590403671043,0.0
5,brute_force,86279,-0.044778236106722,0.009573592647109956
5,ddos,100000,-0.9562694022402447,0.0
5,dos,45446,18.680490895955383,0.8310082295471549
5,infiltration,28224,15.262274883193184,0.5893565759637188
5,web_attacks,381,423.004149001365,0.45931758530183725
