mix,method,macro_f1,tail_f1,balanced_acc,benign_fpr,ece
training_like,racepfn_system,0.6978,0.5185,0.6941,0.0041,0.0079
training_like,racepfn_system+prior_corr,0.6978,0.5184,0.6941,0.0041,0.0079
training_like,global_tabpfn,0.6698,0.5185,0.6647,0.0041,0.0091
training_like,global_tabpfn+prior_corr,0.6698,0.5185,0.6647,0.0041,0.0091
training_like,xgboost,0.7548,0.5331,0.7749,0.0027,0.0055
training_like,xgboost+prior_corr,0.7548,0.5331,0.7749,0.0027,0.0055
balanced,racepfn_system,0.7073,0.7118,0.6941,0.0041,0.222
balanced,racepfn_system+prior_corr,0.716,0.8088,0.7293,0.7496,0.141
balanced,global_tabpfn,0.6756,0.7118,0.6647,0.0041,0.2462
balanced,global_tabpfn+prior_corr,0.6811,0.7944,0.7001,0.7496,0.1708
balanced,xgboost,0.7686,0.7117,0.7749,0.0027,0.2003
balanced,xgboost+prior_corr,0.8691,0.9146,0.8717,0.361,0.0124
tail_heavy,racepfn_system,0.6128,0.6966,0.6941,0.0041,0.413
tail_heavy,racepfn_system+prior_corr,0.2974,0.6939,0.291,1.0,0.0287
tail_heavy,global_tabpfn,0.5851,0.6966,0.6647,0.0041,0.4153
tail_heavy,global_tabpfn+prior_corr,0.2974,0.6939,0.291,1.0,0.0292
tail_heavy,xgboost,0.6661,0.7121,0.7749,0.0027,0.6366
tail_heavy,xgboost+prior_corr,0.7681,0.9916,0.7667,1.0,0.0011
head_heavy,racepfn_system,0.6368,0.3732,0.6941,0.0041,0.0271
head_heavy,racepfn_system+prior_corr,0.641,0.4199,0.6604,0.0014,0.001
head_heavy,global_tabpfn,0.609,0.3732,0.6647,0.0041,0.027
head_heavy,global_tabpfn+prior_corr,0.6107,0.4199,0.631,0.0014,0.0012
head_heavy,xgboost,0.6938,0.3906,0.7749,0.0027,0.01
head_heavy,xgboost+prior_corr,0.72,0.4832,0.685,0.0002,0.001
