run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,1.0,4023114,0.305898,7,0.037369,0.697811
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.99,3982883,0.295571,7,0.031909,0.70854
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.97,3902421,0.252936,7,0.025215,0.735667
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.95,3821958,0.293771,7,0.022597,0.649065
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.9,3620803,0.269455,7,0.020262,0.657131
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.8,3218491,0.252776,7,0.010677,0.668827
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.7,2816180,0.235503,7,0.005585,0.683325
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.5,2011557,0.115731,6,0.002556,0.652991
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,0.3,1206934,0.050601,6,0.001865,0.715418
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_maxprob,AURC_balanced,4023114,0.130322,7,,
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,1.0,4023114,0.335308,7,0.040527,0.66981
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.99,3982883,0.32775,7,0.035092,0.678523
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.97,3902421,0.303136,7,0.028216,0.704063
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.95,3821958,0.317592,7,0.023887,0.636322
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.9,3620803,0.279317,7,0.020655,0.652
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.8,3218491,0.255648,7,0.011353,0.66741
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.7,2816180,0.237708,7,0.005641,0.682078
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.5,2011557,0.11819,6,0.002611,0.651641
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,0.3,1206934,0.05302,6,0.00188,0.714412
20260827_174858_nfv3_cic2018_exp24b_signscorer,global_maxprob,AURC_balanced,4023114,0.134881,7,,
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,1.0,4023114,0.305898,7,0.037369,0.697811
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.99,3982883,0.301875,7,0.037533,0.698547
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.97,3902421,0.298784,7,0.03794,0.699937
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.95,3821958,0.296399,7,0.038331,0.701475
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.9,3620803,0.290616,7,0.039527,0.705085
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.8,3218491,0.010736,6,0.006401,0.709363
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.7,2816180,0.004456,4,0.004817,0.388393
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.5,2011557,0.004494,4,0.004958,0.39907
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,0.3,1206934,0.004389,4,0.004524,0.413627
20260827_174858_nfv3_cic2018_exp24b_signscorer,system_glower,AURC_balanced,4023114,0.047283,7,,
