expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.20461774041950018,0.00046
1,bot,31156,-1.9845102296770516,0.0
1,brute_force,86279,-13.509119266311489,0.0
1,ddos,100000,-0.712844313428017,0.00027
1,dos,45446,-11.507279686476233,0.0016283061215508516
1,infiltration,28224,26.62774027972031,0.5844671201814059
1,web_attacks,381,1151.3740212132816,0.6062992125984252
2,benign,100000,-0.03769601338794364,0.015
2,bot,31156,-2.6196505954267453,0.0
2,brute_force,86279,-1.719025576893511,0.0
2,ddos,100000,-1.2956428702659277,2e-05
2,dos,45446,-7.309518879422279,0.0019143598996611362
2,infiltration,28224,16.72666165362676,0.8939909297052154
2,web_attacks,381,1116.676275490871,0.6692913385826772
3,benign,100000,-0.07004892273915206,0.0164
3,bot,31156,-0.0005362585020037486,0.02741045063551162
3,brute_force,86279,0.024920246371379424,0.6723304628009134
3,ddos,100000,0.00488619298321695,0.69044
3,dos,45446,0.06105219045421299,0.9551115609734631
3,infiltration,28224,24.704849138517933,0.9788832199546486
3,web_attacks,381,738.4406031953412,0.5879265091863517
4,benign,100000,-0.07554757390478223,0.00318
4,bot,31156,-1.433303553653078,0.0
4,brute_force,86279,-1.4725409243911858,0.0
4,ddos,100000,-0.058388660266891684,0.0006
4,dos,45446,-2.0244739018378475,0.17348061435549883
4,infiltration,28224,22.397417807941657,0.5707908163265306
4,web_attacks,381,1474.360354788707,0.6692913385826772
