tau_pre,tau_post,proposal_rate,accepted,helpful,harmful,harm_frac,benign_fpr_added,net_gain,feasible
0.00013690469495486468,0.0,1.0,35308,18620,339,0.0179,0.010503,703096.9,False
0.00013690469495486468,0.25,1.0,27671,18610,325,0.0172,0.010064,690730.6,False
0.00013690469495486468,0.5,1.0,23227,18567,278,0.0148,0.008591,672952.0,False
0.00013690469495486468,1.0,1.0,20862,18517,202,0.0108,0.006208,664789.9,False
0.00013690469495486468,2.0,1.0,19925,18316,180,0.0097,0.005581,650396.7,False
0.00013690469495486468,4.0,1.0,18116,17238,95,0.0055,0.002979,621011.3,False
0.00013690469495486468,8.0,1.0,17356,17057,54,0.0032,0.001693,613959.3,False
0.47939544618129726,0.0,0.7,23386,17348,309,0.0175,0.009625,682816.7,False
0.47939544618129726,0.25,0.7,21645,17338,304,0.0172,0.009469,671270.8,False
0.47939544618129726,0.5,0.7,20373,17297,266,0.0151,0.008277,654355.5,False
0.47939544618129726,1.0,0.7,19208,17248,193,0.0111,0.005988,646284.8,False
0.47939544618129726,2.0,0.7,18372,17050,174,0.0101,0.005393,631934.2,False
0.47939544618129726,4.0,0.7,16676,15980,92,0.0057,0.002884,602744.9,False
0.47939544618129726,8.0,0.7,16127,15882,53,0.0033,0.001662,596876.4,False
0.7072382569313049,0.0,0.3427,20237,17107,281,0.0162,0.00881,675960.0,False
0.7072382569313049,0.25,0.3427,18923,17097,277,0.0159,0.008685,664509.4,False
0.7072382569313049,0.5,0.3427,18737,17059,255,0.0147,0.007995,651051.3,False
0.7072382569313049,1.0,0.3427,18293,17012,185,0.0108,0.0058,643040.6,False
0.7072382569313049,2.0,0.3427,18010,16890,168,0.0098,0.005267,628934.8,False
0.7072382569313049,4.0,0.3427,16371,15827,90,0.0057,0.002822,599732.6,False
0.7072382569313049,8.0,0.3427,15970,15751,51,0.0032,0.001599,594983.4,False
0.7072382569313049,0.0,0.3427,20237,17107,281,0.0162,0.00881,675960.0,False
0.7072382569313049,0.25,0.3427,18923,17097,277,0.0159,0.008685,664509.4,False
0.7072382569313049,0.5,0.3427,18737,17059,255,0.0147,0.007995,651051.3,False
0.7072382569313049,1.0,0.3427,18293,17012,185,0.0108,0.0058,643040.6,False
0.7072382569313049,2.0,0.3427,18010,16890,168,0.0098,0.005267,628934.8,False
0.7072382569313049,4.0,0.3427,16371,15827,90,0.0057,0.002822,599732.6,False
0.7072382569313049,8.0,0.3427,15970,15751,51,0.0032,0.001599,594983.4,False
0.7072382569313049,0.0,0.3427,20237,17107,281,0.0162,0.00881,675960.0,False
0.7072382569313049,0.25,0.3427,18923,17097,277,0.0159,0.008685,664509.4,False
0.7072382569313049,0.5,0.3427,18737,17059,255,0.0147,0.007995,651051.3,False
0.7072382569313049,1.0,0.3427,18293,17012,185,0.0108,0.0058,643040.6,False
