run,item,value,note
20260901_122758_nfv3_cic2018_exp25_dump,expert1_solo_recovery,0.479732,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert2_solo_recovery,0.866539,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert3_solo_recovery,0.920711,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert4_solo_recovery,0.462041,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert5_solo_recovery,0.387045,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert6_solo_recovery,0.520306,share of full-bank oracle utility recovered alone
20260901_122758_nfv3_cic2018_exp25_dump,expert1_shared_variance_share,0.898624,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,expert2_shared_variance_share,0.778675,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,expert3_shared_variance_share,0.849741,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,expert4_shared_variance_share,0.847455,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,expert5_shared_variance_share,1.350284,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,expert6_shared_variance_share,0.811682,fraction of gain variance that is the shared global term
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_benign,6.6e-05,n=100000
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_benign,0.279981,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_bot,0.004429,n=31156
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_bot,0.998524,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_brute_force,0.087553,n=86279
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_brute_force,0.011753,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_ddos,0.001312,n=100000
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_ddos,0.969756,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_dos,0.504764,n=45446
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_dos,0.391956,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_infiltration,0.261632,n=28224
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_infiltration,0.96253,"positive-gain set overlap, within class"
20260901_122758_nfv3_cic2018_exp25_dump,utility_share_web_attacks,0.140244,n=381
20260901_122758_nfv3_cic2018_exp25_dump,posJaccard_e1e2_web_attacks,1.0,"positive-gain set overlap, within class"
