method,class,precision,recall,f1,support
racepfn_system,benign,0.9659868649226615,0.9970755876658542,0.9812850525975095,3502926
racepfn_system,bot,0.9998310076770798,0.9969428530162245,0.9983848416180512,41542
racepfn_system,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
racepfn_system,ddos,0.9999535026456995,0.811924250203872,0.8961824235630436,264872
racepfn_system,dos,0.9997532204728296,0.334290523814239,0.5010450807000185,60594
racepfn_system,infiltration,0.5764154552410099,0.3203210119316521,0.41179987359718495,37631
racepfn_system,web_attacks,0.022757343212490077,0.5068762278978389,0.043559007259834547,509
racepfn_system,macro_avg,,,0.650972942766196,4023114
racepfn_system,weighted_avg,,,0.9558389658641611,4023114
racepfn_system,tail_avg,,,0.4845812408250236,4023114
global_tabpfn,benign,0.9630230517786428,0.997398175125595,0.9799092371231694,3502926
global_tabpfn,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_tabpfn,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_tabpfn,ddos,0.9999581060196995,0.8110294783895617,0.8956389410047947,264872
global_tabpfn,dos,0.9998951946758895,0.3148991649338218,0.4789587961394129,60594
global_tabpfn,infiltration,0.6311204408291787,0.3195769445404055,0.4243022968634231,37631
global_tabpfn,web_attacks,0.09909130246646473,0.449901768172888,0.1624113475177305,509
global_tabpfn,macro_avg,,,0.6663119783970971,4023114
global_tabpfn,weighted_avg,,,0.9544048392023364,4023114
global_tabpfn,tail_avg,,,0.5283741848281914,4023114
global_raw,benign,0.9630230517786428,0.997398175125595,0.9799092371231694,3502926
global_raw,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_raw,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_raw,ddos,0.9999581060196995,0.8110294783895617,0.8956389410047947,264872
global_raw,dos,0.9998951946758895,0.3148991649338218,0.4789587961394129,60594
global_raw,infiltration,0.6311204408291787,0.3195769445404055,0.4243022968634231,37631
global_raw,web_attacks,0.09909130246646473,0.449901768172888,0.1624113475177305,509
global_raw,macro_avg,,,0.6663119783970971,4023114
global_raw,weighted_avg,,,0.9544048392023364,4023114
global_raw,tail_avg,,,0.5283741848281914,4023114
xgboost,benign,0.9913526269013495,0.9973382252436963,0.9943364182904744,3502926
xgboost,bot,1.0,0.9956188917240383,0.9978046368000772,41542
xgboost,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
xgboost,ddos,0.9994750354446871,0.9847511250717328,0.992058451017606,264872
xgboost,dos,1.0,0.6423243225401855,0.7822137366226197,60594
xgboost,infiltration,0.6320852296235002,0.32478541627913154,0.42909052609405446,37631
xgboost,web_attacks,0.10512710038776389,0.4793713163064833,0.1724381625441696,509
xgboost,macro_avg,,,0.7548308060573385,4023114
xgboost,weighted_avg,,,0.9833926272342065,4023114
xgboost,tail_avg,,,0.5331111084794338,4023114
dense_oracle,benign,0.9996173383425838,0.9992925913935949,0.9994549384885664,3502926
dense_oracle,bot,0.9999517188103515,0.9971113571806846,0.9985295181158547,41542
dense_oracle,brute_force,1.0,0.6723226703755215,0.8040585495675316,115040
dense_oracle,ddos,0.9999886524393473,0.998108520341901,0.9990477018248602,264872
dense_oracle,dos,0.9995192148280778,0.9949664983331683,0.9972376604472675,60594
dense_oracle,infiltration,0.9879560179584375,0.9765618771757327,0.9822259047415406,37631
dense_oracle,web_attacks,0.01239273156458236,0.9901768172888016,0.0244790907766283,509
dense_oracle,macro_avg,,,0.8292904805660358,4023114
dense_oracle,weighted_avg,,,0.9935133538838938,4023114
dense_oracle,tail_avg,,,0.6684115045446745,4023114
route_nearest_centroid,benign,0.9983568759441338,0.46242855258717996,0.632082872804215,3502926
route_nearest_centroid,bot,0.99954089646007,0.9957633238650041,0.9976485342530177,41542
route_nearest_centroid,brute_force,0.0,0.0,0.0,115040
route_nearest_centroid,ddos,0.9991127291005815,0.9905539279350025,0.9948149201383952,264872
route_nearest_centroid,dos,0.35827458240695587,0.715384361487936,0.47744031720681773,60594
route_nearest_centroid,infiltration,0.018357399660635383,0.9291807286545667,0.03600349470517158,37631
route_nearest_centroid,web_attacks,0.006927200902934538,0.9646365422396856,0.013755620613820057,509
route_nearest_centroid,macro_avg,,,0.45024939424591964,4023114
route_nearest_centroid,weighted_avg,,,0.633681851903373,4023114
route_nearest_centroid,tail_avg,,,0.34913588319066974,4023114
route_top1_noverify,benign,0.9955610550345069,0.6217576391850699,0.7654616167551868,3502926
route_top1_noverify,bot,0.998576460937123,0.9962688363583843,0.9974213139249049,41542
route_top1_noverify,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
route_top1_noverify,ddos,0.9975855864063959,0.9921093962366728,0.9948399553275663,264872
route_top1_noverify,dos,0.9950360627916843,0.38705152325312736,0.557316667458771,60594
route_top1_noverify,infiltration,0.023639386120437835,0.8404241184130106,0.045985301163300456,37631
route_top1_noverify,web_attacks,0.0070163526283030615,0.9744597249508841,0.013932388590047893,509
route_top1_noverify,macro_avg,,,0.585644509035358,4023114
route_top1_noverify,weighted_avg,,,0.7718289523444339,4023114
route_top1_noverify,tail_avg,,,0.35244633455941776,4023114
oracle_random_bank,benign,0.9889949137793268,0.9999494708138282,0.9944420249573719,3502926
oracle_random_bank,bot,0.9999034422826244,0.9971113571806846,0.9985054478835214,41542
oracle_random_bank,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
oracle_random_bank,ddos,0.9999840579652384,0.947268869491679,0.9729129223449487,264872
oracle_random_bank,dos,0.9999486125385406,0.6422748126877249,0.7821613039371345,60594
oracle_random_bank,infiltration,0.9788297559541311,0.35385719220855144,0.519800917341661,37631
oracle_random_bank,web_attacks,0.9899749373433584,0.7760314341846758,0.8700440528634361,509
oracle_random_bank,macro_avg,,,0.864820054337206,4023114
oracle_random_bank,weighted_avg,,,0.9831672689639113,4023114
oracle_random_bank,tail_avg,,,0.7961168060295396,4023114
oracle_proximity_bank,benign,0.9983649162468697,0.9994844310156709,0.998924359965648,3502926
oracle_proximity_bank,bot,1.0,0.9971113571806846,0.9985535895087025,41542
oracle_proximity_bank,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
oracle_proximity_bank,ddos,0.9999886581880321,0.9986144250807938,0.9993010691752616,264872
oracle_proximity_bank,dos,0.9939452283839586,0.6474898504802455,0.7841546164070073,60594
oracle_proximity_bank,infiltration,0.9464984002843939,0.8490340410831495,0.8951209603989522,37631
oracle_proximity_bank,web_attacks,0.5190525231719877,0.9901768172888016,0.6810810810810811,509
oracle_proximity_bank,macro_avg,,,0.8961441982241459,4023114
oracle_proximity_bank,weighted_avg,,,0.9923246127854595,4023114
oracle_proximity_bank,tail_avg,,,0.8582518769962454,4023114
