split,class,rows,ts_min,ts_max
D_global,benign,30000,1518611302115,1519140931206
D_global,bot,30000,1520000227380,1520004559046
D_global,brute_force,29999,1518618806718,1518621395054
D_global,ddos,29999,1519136034668,1519237255199
D_global,dos,29998,1518701262466,1518791304651
D_global,infiltration,30000,1519820525767,1519840184201
D_global,web_attacks,761,1519302299675,1519311959364
D_expert,benign,15000,1519140932383,1519247365446
D_expert,bot,15000,1520004559212,1520008019747
D_expert,brute_force,14999,1518621395054,1518632090879
D_expert,ddos,14999,1519237255273,1519237779243
D_expert,dos,14999,1518791304952,1518803197760
D_expert,infiltration,15000,1519840184263,1519906776428
D_expert,web_attacks,380,1519311974747,1519316940017
D_route,benign,15000,1519247365934,1519396192704
D_route,bot,15000,1520008019747,1520012881776
D_route,brute_force,15001,1518632090880,1518634555833
D_route,ddos,15001,1519237779300,1519238372660
D_route,dos,15000,1518803197764,1518803569564
D_route,infiltration,15000,1519906776428,1519914435238
D_route,web_attacks,381,1519316940122,1519323348688
D_tune,benign,8000,1519396199363,1519772266345
D_tune,bot,8000,1520012882537,1520015131728
D_tune,brute_force,7999,1518622292724,1518622984220
D_tune,ddos,7999,1519138226043,1519238509318
D_tune,dos,7999,1518702690311,1518792384032
D_tune,infiltration,8000,1519914435238,1519915788650
D_tune,web_attacks,202,1519320975936,1519324243859
D_cal,benign,12000,1519779607899,1519909014693
D_cal,bot,12000,1520015131804,1520018284978
D_cal,brute_force,12000,1518622984722,1518635657595
D_cal,ddos,12000,1519238509350,1519239044380
D_cal,dos,11999,1518792384533,1518803731565
D_cal,infiltration,12000,1519915788650,1519929028270
D_cal,web_attacks,305,1519324253076,1519327807281
test_dev_holdout,benign,20000,1519909016125,1520021064230
test_dev_holdout,bot,20000,1520018285681,1520020490318
test_dev_holdout,brute_force,20002,1518623454173,1518636750288
test_dev_holdout,ddos,20002,1519138976384,1519239953571
test_dev_holdout,dos,20005,1518702885207,1518803902098
test_dev_holdout,infiltration,20000,1519929028271,1519940418782
test_dev_holdout,web_attacks,509,1519327554335,1519334982169
