expert,class,rows,mean_gain,frac_positive
1,benign,15000,-0.03524092856921466,0.3691333333333333
1,bot,15000,1.4625308649419918e-09,0.042466666666666666
1,brute_force,15001,0.13355180576956716,1.0
1,ddos,15001,-0.00014654687795695627,0.4321711885874275
1,dos,15000,5.63058703515542,0.9995333333333334
1,infiltration,15000,-0.07466293213940385,0.25133333333333335
1,web_attacks,381,3.8728288483177598,0.968503937007874
2,benign,15000,-0.020180719962167783,0.2454
2,bot,15000,-0.00128944165890965,0.0
2,brute_force,15001,1.019363586045743,1.0
2,ddos,15001,-0.0005927300865080758,0.00013332444503699753
2,dos,15000,5.725231874851068,0.9791333333333333
2,infiltration,15000,-0.09553761425264469,0.3336
2,web_attacks,381,-1.696027728052792,0.2099737532808399
3,benign,15000,-0.9762247455725657,0.3661333333333333
3,bot,15000,-8.489717008237183e-10,0.0444
3,brute_force,15001,-0.19157152640201264,0.0006666222251849877
3,ddos,15001,8.781111727832052e-05,0.4932337844143724
3,dos,15000,4.472559823817189,0.9410666666666667
3,infiltration,15000,0.20054595019050195,0.5406
3,web_attacks,381,2.212631981272058,0.48293963254593175
4,benign,15000,0.3028887767379915,0.5848
4,bot,15000,-1.7982361909470123e-07,0.013533333333333333
4,brute_force,15001,0.5371414864857887,1.0
4,ddos,15001,-0.0001813196809512519,0.17425504966335578
4,dos,15000,1.8841540127533833,0.8025333333333333
4,infiltration,15000,-0.9995360546323749,0.047733333333333336
4,web_attacks,381,3.8908733165164833,0.5013123359580053
