method,class,precision,recall,f1,support
racepfn_system,benign,0.9685354803673517,0.9974033136869006,0.9827574494825013,3502926
racepfn_system,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
racepfn_system,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
racepfn_system,ddos,0.9999465521695365,0.8476018605213084,0.917493205827663,264872
racepfn_system,dos,0.9999222969035316,0.4247450242598277,0.5962262402557539,60594
racepfn_system,infiltration,0.5937546542223104,0.3178230714038957,0.4140270710007962,37631
racepfn_system,web_attacks,0.042491374614127476,0.45972495088408644,0.07779255319148937,509
racepfn_system,macro_avg,,,0.6730371071270504,4023114
racepfn_system,weighted_avg,,,0.9599830120995563,4023114
racepfn_system,tail_avg,,,0.4967428447652355,4023114
global_tabpfn,benign,0.9638840066177572,0.9974175874683051,0.980364124904475,3502926
global_tabpfn,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_tabpfn,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_tabpfn,ddos,0.9999495276244488,0.8227747742305718,0.9027511686719288,264872
global_tabpfn,dos,1.0,0.31866191372083047,0.4833110146052088,60594
global_tabpfn,infiltration,0.6313059128685617,0.31691956100023916,0.4219949754078058,37631
global_tabpfn,web_attacks,0.09887250650477017,0.44793713163064836,0.16198934280639432,509
global_tabpfn,macro_avg,,,0.6676248366467089,4023114
global_tabpfn,weighted_avg,,,0.9553130771778175,4023114
global_tabpfn,tail_avg,,,0.527464409439207,4023114
global_raw,benign,0.9638840066177572,0.9974175874683051,0.980364124904475,3502926
global_raw,bot,0.9998792853693867,0.9969428530162245,0.9984089101034208,41542
global_raw,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_raw,ddos,0.9999495276244488,0.8227747742305718,0.9027511686719288,264872
global_raw,dos,1.0,0.31866191372083047,0.4833110146052088,60594
global_raw,infiltration,0.6313059128685617,0.31691956100023916,0.4219949754078058,37631
global_raw,web_attacks,0.09887250650477017,0.44793713163064836,0.16198934280639432,509
global_raw,macro_avg,,,0.6676248366467089,4023114
global_raw,weighted_avg,,,0.9553130771778175,4023114
global_raw,tail_avg,,,0.527464409439207,4023114
xgboost,benign,0.9913526269013495,0.9973382252436963,0.9943364182904744,3502926
xgboost,bot,1.0,0.9956188917240383,0.9978046368000772,41542
xgboost,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
xgboost,ddos,0.9994750354446871,0.9847511250717328,0.992058451017606,264872
xgboost,dos,1.0,0.6423243225401855,0.7822137366226197,60594
xgboost,infiltration,0.6320852296235002,0.32478541627913154,0.42909052609405446,37631
xgboost,web_attacks,0.10512710038776389,0.4793713163064833,0.1724381625441696,509
xgboost,macro_avg,,,0.7548308060573385,4023114
xgboost,weighted_avg,,,0.9833926272342065,4023114
xgboost,tail_avg,,,0.5331111084794338,4023114
dense_oracle,benign,0.9995921022075326,0.9990074012411339,0.9992996661956368,3502926
dense_oracle,bot,0.9999517188103515,0.9971113571806846,0.9985295181158547,41542
dense_oracle,brute_force,1.0,0.6723226703755215,0.8040585495675316,115040
dense_oracle,ddos,0.9999847933029706,0.9930759008124679,0.9965183723106416,264872
dense_oracle,dos,0.9990508700358005,0.9901640426444862,0.9945876053676367,60594
