method,class,precision,recall,f1,support
racepfn_system,benign,0.9643469597829777,0.9975654638436553,0.9806749890128641,3502926
racepfn_system,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
racepfn_system,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
racepfn_system,ddos,0.9999589575210343,0.8278564740704945,0.9058053482651289,264872
racepfn_system,dos,0.9998988059097349,0.326137901442387,0.4918489758331467,60594
racepfn_system,infiltration,0.6476310180884202,0.3149265233451144,0.42377972465581976,37631
racepfn_system,web_attacks,0.09769865392965697,0.44204322200392926,0.1600284495021337,509
racepfn_system,macro_avg,,,0.6693018217254435,4023114
racepfn_system,weighted_avg,,,0.9559299907418991,4023114
racepfn_system,tail_avg,,,0.5274097063130788,4023114
global_tabpfn,benign,0.9643469597829777,0.9975654638436553,0.9806749890128641,3502926
global_tabpfn,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_tabpfn,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_tabpfn,ddos,0.9999589575210343,0.8278564740704945,0.9058053482651289,264872
global_tabpfn,dos,0.9998988059097349,0.326137901442387,0.4918489758331467,60594
global_tabpfn,infiltration,0.6476310180884202,0.3149265233451144,0.42377972465581976,37631
global_tabpfn,web_attacks,0.09769865392965697,0.44204322200392926,0.1600284495021337,509
global_tabpfn,macro_avg,,,0.6693018217254435,4023114
global_tabpfn,weighted_avg,,,0.9559299907418991,4023114
global_tabpfn,tail_avg,,,0.5274097063130788,4023114
global_raw,benign,0.9643469597829777,0.9975654638436553,0.9806749890128641,3502926
global_raw,bot,0.9999034259639296,0.9969428530162245,0.9984209447812827,41542
global_raw,brute_force,0.7855851463627684,0.6723226703755215,0.7245543200277291,115040
global_raw,ddos,0.9999589575210343,0.8278564740704945,0.9058053482651289,264872
global_raw,dos,0.9998988059097349,0.326137901442387,0.4918489758331467,60594
global_raw,infiltration,0.6476310180884202,0.3149265233451144,0.42377972465581976,37631
global_raw,web_attacks,0.09769865392965697,0.44204322200392926,0.1600284495021337,509
global_raw,macro_avg,,,0.6693018217254435,4023114
global_raw,weighted_avg,,,0.9559299907418991,4023114
global_raw,tail_avg,,,0.5274097063130788,4023114
xgboost,benign,0.9913526269013495,0.9973382252436963,0.9943364182904744,3502926
xgboost,bot,1.0,0.9956188917240383,0.9978046368000772,41542
xgboost,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
xgboost,ddos,0.9994750354446871,0.9847511250717328,0.992058451017606,264872
xgboost,dos,1.0,0.6423243225401855,0.7822137366226197,60594
xgboost,infiltration,0.6320852296235002,0.32478541627913154,0.42909052609405446,37631
xgboost,web_attacks,0.10512710038776389,0.4793713163064833,0.1724381625441696,509
xgboost,macro_avg,,,0.7548308060573385,4023114
xgboost,weighted_avg,,,0.9833926272342065,4023114
xgboost,tail_avg,,,0.5331111084794338,4023114
dense_oracle,benign,0.9996798684976322,0.9993259920420814,0.9995028989471508,3502926
dense_oracle,bot,0.9999517188103515,0.9971113571806846,0.9985295181158547,41542
dense_oracle,brute_force,1.0,0.6723226703755215,0.8040585495675316,115040
dense_oracle,ddos,0.9999886518813289,0.9980594400314114,0.9990231145828019,264872
dense_oracle,dos,0.9998839214645795,0.9950985246063967,0.9974854836308293,60594
dense_oracle,infiltration,0.9909982533924493,0.9800430496133506,0.9854902065574647,37631
dense_oracle,web_attacks,0.012358999509563512,0.9901768172888016,0.024413281987938677,509
dense_oracle,macro_avg,,,0.8297861504842247,4023114
dense_oracle,weighted_avg,,,0.9935877518523121,4023114
dense_oracle,tail_avg,,,0.6694776688870859,4023114
route_nearest_centroid,benign,0.9976675998789346,0.45168553375092707,0.6218388216110293,3502926
