bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,15892,15892,True,False
residual,2,40275,40275,True,False
residual,3,405,405,True,False
residual,4,186000,1931415,True,True
residual,5,112,112,True,False
random,1,15892,15892,False,False
random,2,40275,40275,False,False
random,3,405,405,False,False
random,4,186000,1931415,False,True
random,5,112,112,False,False
proximity,1,15892,15892,False,False
proximity,2,40275,40275,False,False
proximity,3,405,405,False,False
proximity,4,186000,1931415,False,True
proximity,5,112,112,False,False
regime_random,1,15892,15892,True,False
regime_random,2,40275,40275,True,False
regime_random,3,405,405,True,False
regime_random,4,186000,1931415,False,True
regime_random,5,112,112,True,False
