scenario,total,train,val,test,train_last_timestamp,val_first_timestamp,val_last_timestamp,test_first_timestamp
benign,100000,60000,20000,20000,1519396192704,1519396199363,1519909014693,1519909016125
bot,100000,60000,20000,20000,1520012881776,1520012882537,1520018284978,1520018285681
brute_force_web,1618,970,323,325,1519320765972,1519320975936,1519327807281,1519327816753
brute_force_xss,480,288,96,96,1519322576713,1519322633335,1519327640320,1519327756875
ddos_attack_hoic,78111,46866,15622,15623,1519238372660,1519238372705,1519239044380,1519239044419
ddos_attack_loic_udp,254,152,50,52,1519223377268,1519223378326,1519223751012,1519223754315
ddos_attacks_loic_http,21635,12981,4327,4327,1519138225911,1519138226043,1519138976251,1519138976384
dos_attacks_goldeneye,20338,12202,4067,4069,1518702690308,1518702690311,1518702885205,1518702885207
dos_attacks_hulk,32813,19687,6562,6564,1518803569564,1518803569566,1518803731565,1518803731570
dos_attacks_slowhttptest,34876,20925,6975,6976,1518792244522,1518792244522,1518792884182,1518792884182
dos_attacks_slowloris,11973,7183,2394,2396,1518708312602,1518708312602,1518708812620,1518708812620
ftp_bruteforce,67122,40273,13424,13425,1518622292223,1518622292724,1518623454173,1518623454173
infilteration,100000,60000,20000,20000,1519914435238,1519914435238,1519929028270,1519929028271
sql_injection,440,264,88,88,1519323348688,1519323392410,1519327475257,1519327554335
ssh_bruteforce,32878,19726,6575,6577,1518634555833,1518634555836,1518635657595,1518635657652
