split,class,rows,ts_min,ts_max
D_global,benign,30000,1518611302115,1519140931206
D_global,bot,30000,1520000227380,1520004559046
D_global,brute_force,29999,1518618806718,1518632933899
D_global,ddos,29999,1519136034668,1519237498580
D_global,dos,29997,1518701262466,1518803326587
D_global,infiltration,30000,1519820525767,1519840184201
D_global,web_attacks,761,1519302299675,1519317736556
D_expert,benign,15000,1519140932383,1519247365446
D_expert,bot,15000,1520004559212,1520008019747
D_expert,brute_force,14999,1518620544506,1518633746077
D_expert,ddos,14999,1519137116835,1519237902056
D_expert,dos,14997,1518701893003,1518803450830
D_expert,infiltration,15000,1519840184263,1519906776428
D_expert,web_attacks,380,1519310420855,1519321367933
D_route,benign,15000,1519247365934,1519396192704
D_route,bot,15000,1520008019747,1520012881776
D_route,brute_force,15001,1518621414633,1518634555833
D_route,ddos,15001,1519137666558,1519238372660
D_route,dos,15003,1518702563623,1518803569564
D_route,infiltration,15000,1519906776428,1519914435238
D_route,web_attacks,381,1519314226464,1519323348688
D_tune,benign,8000,1519396199363,1519772266345
D_tune,bot,8000,1520012882537,1520015131728
D_tune,brute_force,7999,1518622292724,1518634988809
D_tune,ddos,7998,1519138226043,1519238614730
D_tune,dos,7997,1518702690311,1518803632989
D_tune,infiltration,8000,1519914435238,1519915788650
D_tune,web_attacks,202,1519320975936,1519324583202
D_cal,benign,12000,1519779607899,1519909014693
D_cal,bot,12000,1520015131804,1520018284978
D_cal,brute_force,12000,1518622759984,1518635657595
D_cal,ddos,12001,1519138528506,1519239044380
D_cal,dos,12001,1518702756195,1518803731565
D_cal,infiltration,12000,1519915788650,1519929028270
D_cal,web_attacks,305,1519323843878,1519327807281
test_dev_holdout,benign,20000,1519909016125,1520021064230
test_dev_holdout,bot,20000,1520018285681,1520020490318
test_dev_holdout,brute_force,20002,1518623454173,1518636750288
test_dev_holdout,ddos,20002,1519138976384,1519239953571
test_dev_holdout,dos,20005,1518702885207,1518803902098
test_dev_holdout,infiltration,20000,1519929028271,1519940418782
test_dev_holdout,web_attacks,509,1519327554335,1519334982169
