method,class,precision,recall,f1,support
racepfn_system,benign,0.5774778966961377,0.9928,0.7302147690497205,20000
racepfn_system,bot,0.9999498319369889,0.9966,0.9982721057771767,20000
racepfn_system,brute_force,0.7412157153446998,0.9998000199980002,0.851304755012558,20002
racepfn_system,ddos,0.9996950444726811,0.9833516648335167,0.9914560072586133,20002
racepfn_system,dos,1.0,0.6418395401149712,0.7818541634952048,20005
racepfn_system,infiltration,0.9651819322459222,0.3077,0.46663633606308763,20000
racepfn_system,web_attacks,0.8090909090909091,0.5245579567779961,0.636471990464839,509
racepfn_system,macro_avg,,,0.7794585895887429,120518
racepfn_system,weighted_avg,,,0.8025881757796832,120518
racepfn_system,tail_avg,,,0.7004601441017012,120518
global_tabpfn,benign,0.5774778966961377,0.9928,0.7302147690497205,20000
global_tabpfn,bot,0.9999498319369889,0.9966,0.9982721057771767,20000
global_tabpfn,brute_force,0.7412157153446998,0.9998000199980002,0.851304755012558,20002
global_tabpfn,ddos,0.9996950444726811,0.9833516648335167,0.9914560072586133,20002
global_tabpfn,dos,1.0,0.6418395401149712,0.7818541634952048,20005
global_tabpfn,infiltration,0.9651819322459222,0.3077,0.46663633606308763,20000
global_tabpfn,web_attacks,0.8090909090909091,0.5245579567779961,0.636471990464839,509
global_tabpfn,macro_avg,,,0.7794585895887429,120518
global_tabpfn,weighted_avg,,,0.8025881757796832,120518
global_tabpfn,tail_avg,,,0.7004601441017012,120518
global_raw,benign,0.5774778966961377,0.9928,0.7302147690497205,20000
global_raw,bot,0.9999498319369889,0.9966,0.9982721057771767,20000
global_raw,brute_force,0.7412157153446998,0.9998000199980002,0.851304755012558,20002
global_raw,ddos,0.9996950444726811,0.9833516648335167,0.9914560072586133,20002
global_raw,dos,1.0,0.6418395401149712,0.7818541634952048,20005
global_raw,infiltration,0.9651819322459222,0.3077,0.46663633606308763,20000
global_raw,web_attacks,0.8090909090909091,0.5245579567779961,0.636471990464839,509
global_raw,macro_avg,,,0.7794585895887429,120518
global_raw,weighted_avg,,,0.8025881757796832,120518
global_raw,tail_avg,,,0.7004601441017012,120518
