method,class,precision,recall,f1,support
racepfn_system,benign,0.9705946180555556,0.9984495818638476,0.9843250756854894,3502926
racepfn_system,bot,0.9998791832789659,0.9961003321939242,0.997986180616687,41542
racepfn_system,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
racepfn_system,ddos,0.9999623783342201,0.7024374037270833,0.8252009713151562,264872
racepfn_system,dos,0.9995372869592042,0.6416971977423507,0.7816071159354742,60594
racepfn_system,infiltration,0.7669915966386555,0.30318088809757915,0.4345789052679694,37631
racepfn_system,web_attacks,0.09722222222222222,0.4400785854616896,0.1592605758976182,509
racepfn_system,macro_avg,,,0.7284046479643946,4023114
racepfn_system,weighted_avg,,,0.9637326681216252,4023114
racepfn_system,tail_avg,,,0.5306085539274249,4023114
global_tabpfn,benign,0.969001601383063,0.9984495818638476,0.9835052091403267,3502926
global_tabpfn,bot,0.9998791832789659,0.9961003321939242,0.997986180616687,41542
global_tabpfn,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
global_tabpfn,ddos,0.9999611411188027,0.6800718837778248,0.8095620108266987,264872
global_tabpfn,dos,0.9995372869592042,0.6416971977423507,0.7816071159354742,60594
global_tabpfn,infiltration,0.7669915966386555,0.30318088809757915,0.4345789052679694,37631
global_tabpfn,web_attacks,0.09722222222222222,0.4400785854616896,0.1592605758976182,509
global_tabpfn,macro_avg,,,0.7260533869595918,4023114
global_tabpfn,weighted_avg,,,0.9619891792271819,4023114
global_tabpfn,tail_avg,,,0.5306085539274249,4023114
global_raw,benign,0.969001601383063,0.9984495818638476,0.9835052091403267,3502926
global_raw,bot,0.9998791832789659,0.9961003321939242,0.997986180616687,41542
global_raw,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
global_raw,ddos,0.9999611411188027,0.6800718837778248,0.8095620108266987,264872
global_raw,dos,0.9995372869592042,0.6416971977423507,0.7816071159354742,60594
global_raw,infiltration,0.7669915966386555,0.30318088809757915,0.4345789052679694,37631
global_raw,web_attacks,0.09722222222222222,0.4400785854616896,0.1592605758976182,509
global_raw,macro_avg,,,0.7260533869595918,4023114
global_raw,weighted_avg,,,0.9619891792271819,4023114
global_raw,tail_avg,,,0.5306085539274249,4023114
