expert,class,rows,mean_gain,frac_positive
1,benign,15000,-0.8855864750612151,0.0116
1,bot,15000,-0.024602738411204583,0.0
1,brute_force,15001,-0.4005636595905441,0.0005999600026664889
1,ddos,15001,-0.010527424873400257,0.28251449903339776
1,dos,15003,-0.1465873397549231,0.046790641871625675
1,infiltration,15000,0.9583898880318967,0.6143333333333333
1,web_attacks,381,-0.926264968716246,0.2283464566929134
2,benign,15000,-0.27853841207059205,0.07073333333333333
2,bot,15000,-0.11014869719727824,0.0
2,brute_force,15001,-0.20759812082283718,0.0001999866675554963
2,ddos,15001,-0.06590283679061686,0.005266315578961403
2,dos,15003,-0.17261973652199467,0.05338932213557288
2,infiltration,15000,-0.1263853348861066,0.5371333333333334
2,web_attacks,381,-5.3999658395958825,0.2073490813648294
3,benign,15000,-0.3275663110794395,0.07513333333333333
3,bot,15000,0.0005194781006718077,0.9997333333333334
3,brute_force,15001,-0.019251175226177274,0.32757816145590296
3,ddos,15001,0.0025929382355041534,0.9984667688820745
3,dos,15003,0.01977666190295001,0.9947343864560422
3,infiltration,15000,0.9263906875252607,0.9750666666666666
3,web_attacks,381,4.159348071017663,0.9422572178477691
4,benign,15000,-0.6650465832381883,0.0164
4,bot,15000,-0.06750859149054685,0.0
4,brute_force,15001,-0.5457237734482272,0.0006666222251849877
4,ddos,15001,-0.036940510664421555,0.08566095593627092
4,dos,15003,-0.23256437972480445,0.3377991068452976
4,infiltration,15000,0.9473461955722675,0.6158666666666667
4,web_attacks,381,0.30174641910284455,0.37270341207349084
