tau_pre,tau_post,proposal_rate,accepted,helpful,harmful,harm_frac,benign_fpr_added,net_gain,feasible,target_unit
9.494485198047187e-08,0.0,1.0,1556,12,11,0.4783,0.00134,14.1,False,normgain
9.494485198047187e-08,0.25,1.0,32,8,6,0.4286,0.000731,4.9,False,normgain
9.494485198047187e-08,0.5,1.0,25,5,2,0.2857,0.000244,5.9,False,normgain
9.494485198047187e-08,1.0,1.0,1,0,0,0.0,0.0,0.2,False,normgain
9.494485198047187e-08,2.0,1.0,0,0,0,0.0,0.0,0.0,False,normgain
9.494485198047187e-08,4.0,1.0,0,0,0,0.0,0.0,0.0,False,normgain
9.494485198047187e-08,8.0,1.0,0,0,0,0.0,0.0,0.0,False,normgain
6.549450063175755e-06,0.0,0.7,1396,6,10,0.625,0.001218,12.5,False,normgain
6.549450063175755e-06,0.25,0.7,26,3,5,0.625,0.000609,-0.6,False,normgain
6.549450063175755e-06,0.5,0.7,22,2,2,0.5,0.000244,2.0,False,normgain
6.549450063175755e-06,1.0,0.7,1,0,0,0.0,0.0,0.2,False,normgain
6.549450063175755e-06,2.0,0.7,0,0,0,0.0,0.0,0.0,False,normgain
6.549450063175755e-06,4.0,0.7,0,0,0,0.0,0.0,0.0,False,normgain
6.549450063175755e-06,8.0,0.7,0,0,0,0.0,0.0,0.0,False,normgain
4.5968212361913174e-05,0.0,0.5,1100,1,4,0.8,0.000487,12.0,False,normgain
4.5968212361913174e-05,0.25,0.5,19,1,2,0.6667,0.000244,3.0,False,normgain
4.5968212361913174e-05,0.5,0.5,17,0,1,1.0,0.000122,3.2,False,normgain
4.5968212361913174e-05,1.0,0.5,1,0,0,0.0,0.0,0.2,False,normgain
4.5968212361913174e-05,2.0,0.5,0,0,0,0.0,0.0,0.0,False,normgain
4.5968212361913174e-05,4.0,0.5,0,0,0,0.0,0.0,0.0,False,normgain
4.5968212361913174e-05,8.0,0.5,0,0,0,0.0,0.0,0.0,False,normgain
0.00015145570796448737,0.0,0.4,981,1,2,0.6667,0.000244,13.5,False,normgain
0.00015145570796448737,0.25,0.4,17,1,1,0.5,0.000122,4.4,False,normgain
0.00015145570796448737,0.5,0.4,16,0,1,1.0,0.000122,3.4,False,normgain
0.00015145570796448737,1.0,0.4,1,0,0,0.0,0.0,0.2,False,normgain
0.00015145570796448737,2.0,0.4,0,0,0,0.0,0.0,0.0,False,normgain
0.00015145570796448737,4.0,0.4,0,0,0,0.0,0.0,0.0,False,normgain
0.00015145570796448737,8.0,0.4,0,0,0,0.0,0.0,0.0,False,normgain
0.00028443638439057395,0.0,0.35,935,1,2,0.6667,0.000244,11.4,False,normgain
0.00028443638439057395,0.25,0.35,17,1,1,0.5,0.000122,4.4,False,normgain
0.00028443638439057395,0.5,0.35,16,0,1,1.0,0.000122,3.4,False,normgain
0.00028443638439057395,1.0,0.35,1,0,0,0.0,0.0,0.2,False,normgain
0.00028443638439057395,2.0,0.35,0,0,0,0.0,0.0,0.0,False,normgain
0.00028443638439057395,4.0,0.35,0,0,0,0.0,0.0,0.0,False,normgain
0.00028443638439057395,8.0,0.35,0,0,0,0.0,0.0,0.0,False,normgain
0.0007031276763882488,0.0,0.3,861,1,1,0.5,0.000122,12.2,False,normgain
0.0007031276763882488,0.25,0.3,16,1,1,0.5,0.000122,4.6,False,normgain
0.0007031276763882488,0.5,0.3,15,0,1,1.0,0.000122,3.5,False,normgain
0.0007031276763882488,1.0,0.3,1,0,0,0.0,0.0,0.2,False,normgain
0.0007031276763882488,2.0,0.3,0,0,0,0.0,0.0,0.0,False,normgain
0.0007031276763882488,4.0,0.3,0,0,0,0.0,0.0,0.0,False,normgain
0.0007031276763882488,8.0,0.3,0,0,0,0.0,0.0,0.0,False,normgain
0.0022066147066652775,0.0,0.25,791,1,0,0.0,0.0,13.5,False,normgain
0.0022066147066652775,0.25,0.25,15,1,0,0.0,0.0,6.8,False,normgain
0.0022066147066652775,0.5,0.25,14,0,0,0.0,0.0,5.7,False,normgain
0.0022066147066652775,1.0,0.25,1,0,0,0.0,0.0,0.2,False,normgain
0.0022066147066652775,2.0,0.25,0,0,0,0.0,0.0,0.0,False,normgain
0.0022066147066652775,4.0,0.25,0,0,0,0.0,0.0,0.0,False,normgain
0.0022066147066652775,8.0,0.25,0,0,0,0.0,0.0,0.0,False,normgain
0.00896239373832941,0.0,0.2,580,1,0,0.0,0.0,12.7,False,normgain
0.00896239373832941,0.25,0.2,15,1,0,0.0,0.0,6.8,False,normgain
0.00896239373832941,0.5,0.2,14,0,0,0.0,0.0,5.7,False,normgain
0.00896239373832941,1.0,0.2,1,0,0,0.0,0.0,0.2,False,normgain
0.00896239373832941,2.0,0.2,0,0,0,0.0,0.0,0.0,False,normgain
0.00896239373832941,4.0,0.2,0,0,0,0.0,0.0,0.0,False,normgain
0.00896239373832941,8.0,0.2,0,0,0,0.0,0.0,0.0,False,normgain
0.028451304882764816,0.0,0.1499,422,0,0,0.0,0.0,10.3,False,normgain
0.028451304882764816,0.25,0.1499,12,0,0,0.0,0.0,5.3,False,normgain
0.028451304882764816,0.5,0.1499,12,0,0,0.0,0.0,5.3,False,normgain
0.028451304882764816,1.0,0.1499,1,0,0,0.0,0.0,0.2,False,normgain
0.028451304882764816,2.0,0.1499,0,0,0,0.0,0.0,0.0,False,normgain
0.028451304882764816,4.0,0.1499,0,0,0,0.0,0.0,0.0,False,normgain
0.028451304882764816,8.0,0.1499,0,0,0,0.0,0.0,0.0,False,normgain
0.06717623770236969,0.0,0.1,327,0,0,0.0,0.0,9.2,False,normgain
0.06717623770236969,0.25,0.1,9,0,0,0.0,0.0,4.7,False,normgain
0.06717623770236969,0.5,0.1,9,0,0,0.0,0.0,4.7,False,normgain
0.06717623770236969,1.0,0.1,1,0,0,0.0,0.0,0.2,False,normgain
0.06717623770236969,2.0,0.1,0,0,0,0.0,0.0,0.0,False,normgain
0.06717623770236969,4.0,0.1,0,0,0,0.0,0.0,0.0,False,normgain
0.06717623770236969,8.0,0.1,0,0,0,0.0,0.0,0.0,False,normgain
0.1812041848897934,0.0,0.0499,248,0,0,0.0,0.0,7.7,False,normgain
0.1812041848897934,0.25,0.0499,3,0,0,0.0,0.0,3.5,False,normgain
0.1812041848897934,0.5,0.0499,3,0,0,0.0,0.0,3.5,False,normgain
0.1812041848897934,1.0,0.0499,0,0,0,0.0,0.0,0.0,False,normgain
0.1812041848897934,2.0,0.0499,0,0,0,0.0,0.0,0.0,False,normgain
0.1812041848897934,4.0,0.0499,0,0,0,0.0,0.0,0.0,False,normgain
0.1812041848897934,8.0,0.0499,0,0,0,0.0,0.0,0.0,False,normgain
