method,class,precision,recall,f1,support
racepfn_system,benign,0.9823619383898158,0.9972468730427078,0.9897484448419867,3502926
racepfn_system,bot,0.999758611533541,0.9969909970632131,0.9983728862587231,41542
racepfn_system,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
racepfn_system,ddos,0.9991157647759208,0.8617143374913165,0.9253422741517642,264872
racepfn_system,dos,0.9995882867582728,0.6410865762286695,0.7811695624195624,60594
racepfn_system,infiltration,0.6374847180141392,0.31870000797215065,0.424952164977677,37631
racepfn_system,web_attacks,0.13923681910865132,0.9390962671905697,0.24251648909183154,509
racepfn_system,macro_avg,,,0.7539965046819876,4023114
racepfn_system,weighted_avg,,,0.9749657459799261,4023114
racepfn_system,tail_avg,,,0.555280513442744,4023114
global_tabpfn,benign,0.9742808462643554,0.9972471585183358,0.985630235207398,3502926
global_tabpfn,bot,0.999758611533541,0.9969909970632131,0.9983728862587231,41542
global_tabpfn,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
global_tabpfn,ddos,0.9989896959034933,0.750358663807424,0.8570054891747265,264872
global_tabpfn,dos,0.9995882867582728,0.6410865762286695,0.7811695624195624,60594
global_tabpfn,infiltration,0.6374847180141392,0.31870000797215065,0.424952164977677,37631
global_tabpfn,web_attacks,0.13923681910865132,0.9390962671905697,0.24251648909183154,509
global_tabpfn,macro_avg,,,0.743645791166041,4023114
global_tabpfn,weighted_avg,,,0.966880893173645,4023114
global_tabpfn,tail_avg,,,0.555280513442744,4023114
global_raw,benign,0.9742808462643554,0.9972471585183358,0.985630235207398,3502926
global_raw,bot,0.999758611533541,0.9969909970632131,0.9983728862587231,41542
global_raw,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
global_raw,ddos,0.9989896959034933,0.750358663807424,0.8570054891747265,264872
global_raw,dos,0.9995882867582728,0.6410865762286695,0.7811695624195624,60594
global_raw,infiltration,0.6374847180141392,0.31870000797215065,0.424952164977677,37631
global_raw,web_attacks,0.13923681910865132,0.9390962671905697,0.24251648909183154,509
global_raw,macro_avg,,,0.743645791166041,4023114
global_raw,weighted_avg,,,0.966880893173645,4023114
global_raw,tail_avg,,,0.555280513442744,4023114
