expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.18343612936808637,0.00022
1,bot,31156,-2.034262483690074,0.002054178970342791
1,brute_force,86279,-8.893809125347376,0.0
1,ddos,100000,-0.5578274196705943,0.0035
1,dos,45446,-6.038905298195127,0.029859613607358185
1,infiltration,28224,16.7214763532149,0.5819869614512472
1,web_attacks,381,156.80096954096763,0.4435695538057743
2,benign,100000,-0.0007686666834985521,0.44616
2,bot,31156,-0.8389369242097966,0.001701116959815124
2,brute_force,86279,-5.729407517830144,0.0
2,ddos,100000,-0.6119275190170314,0.0
2,dos,45446,-8.36511785742883,0.0005501034194428553
2,infiltration,28224,-11.10303219360383,0.12244897959183673
2,web_attacks,381,-670.6425931020708,0.013123359580052493
3,benign,100000,-0.07542855599095316,0.00176
3,bot,31156,-2.607070214061301,0.0
3,brute_force,86279,-1.9053793211416885,0.0
3,ddos,100000,-0.8030239927023952,0.00385
3,dos,45446,-3.2810269781320187,0.0014962813008845663
3,infiltration,28224,12.27964378041313,0.5553784013605442
3,web_attacks,381,-422.94678153703813,0.12598425196850394
4,benign,100000,-0.08432766845590806,0.00177
4,bot,31156,-3.588559698011489,0.0005135447425856978
4,brute_force,86279,-2.6269178436550575,0.0
4,ddos,100000,-0.8379313140088512,0.00309
4,dos,45446,-4.087420258864594,0.00015402895744399947
4,infiltration,28224,9.757639053034698,0.5524730725623582
4,web_attacks,381,-151.69314751460186,0.2335958005249344
