expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.20917253475303763,0.0005
1,bot,31156,0.47990596153719256,1.0
1,brute_force,86279,-1.096089112155448,0.16798989325328295
1,ddos,100000,0.042428833092324855,0.80933
1,dos,45446,-0.7074696830129418,0.532258064516129
1,infiltration,28224,21.93312031053512,0.9236111111111112
1,web_attacks,381,323.3880446246945,0.9028871391076115
2,benign,100000,0.0010249509205864727,0.57978
2,bot,31156,0.5434026220095499,1.0
2,brute_force,86279,0.20779306189030686,0.3276695371990867
2,ddos,100000,0.08052690539333154,0.99535
2,dos,45446,-1.4016362191301226,0.5915372089952912
2,infiltration,28224,-5.650472125421948,0.13984552154195012
2,web_attacks,381,-1904.289415564037,0.031496062992125984
3,benign,100000,-0.064704806504305,0.10198
3,bot,31156,0.6352817100417076,1.0
3,brute_force,86279,0.7488462014606861,0.9997913744943729
3,ddos,100000,0.08633430222342886,0.99912
3,dos,45446,-1.000948823260694,0.6486379439334595
3,infiltration,28224,16.89130854028744,0.9244968820861678
3,web_attacks,381,393.3326641536206,0.9081364829396326
4,benign,100000,-0.07009424218545932,0.00389
4,bot,31156,0.5675880732769659,1.0
4,brute_force,86279,-0.11985172299910954,0.32755363414040495
4,ddos,100000,0.07451845899509664,0.88863
4,dos,45446,-0.2990262380164556,0.6287902125599613
4,infiltration,28224,16.524229089528816,0.5860260770975056
4,web_attacks,381,286.5311003874258,0.8976377952755905
5,benign,100000,-0.06646347080518258,0.0035
5,bot,31156,0.47660897158593735,1.0
5,brute_force,86279,0.23713440768620334,0.999327762259646
5,ddos,100000,0.06276759676603123,0.81241
5,dos,45446,0.2831988451594074,0.998613739383004
5,infiltration,28224,16.420898874830463,0.5911989795918368
5,web_attacks,381,275.18441854085916,0.8530183727034121
