expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.00487928170158211,0.34367
1,bot,31156,-0.03946142688463652,0.08852227500320965
1,brute_force,86279,0.9150288721033228,0.6723304628009134
1,ddos,100000,-0.015793533560041276,0.24692
1,dos,45446,-4.554997537029561,0.5826475377370945
1,infiltration,28224,1.6982405990821896,0.4326105442176871
1,web_attacks,381,1631.959449541051,0.7322834645669292
2,benign,100000,-0.19463373878081722,0.02283
2,bot,31156,0.2579801585966342,1.0
2,brute_force,86279,-5.1672825143913,0.32421562605037146
2,ddos,100000,0.0262642659785497,0.98586
2,dos,45446,3.797581190380001,0.9605685868943361
2,infiltration,28224,20.396886012650914,0.9369331065759637
2,web_attacks,381,2111.935216254105,1.0
