method,class,precision,recall,f1,support
racepfn_system,benign,0.9904162553355089,0.9987019423190784,0.994541841781214,3502926
racepfn_system,bot,0.9999034306269766,0.9969909970632131,0.9984450899798706,41542
racepfn_system,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
racepfn_system,ddos,0.9994442257369799,0.9776571325017367,0.988430635341718,264872
racepfn_system,dos,0.9998713859450561,0.6414991583325081,0.7815622800844476,60594
racepfn_system,infiltration,0.8261080556454222,0.2714251547925912,0.4086008600860086,37631
racepfn_system,web_attacks,0.14601473543201607,0.8565815324165029,0.24949928469241775,509
racepfn_system,macro_avg,,,0.7624177903558174,4023114
racepfn_system,weighted_avg,,,0.9831467056809029,4023114
racepfn_system,tail_avg,,,0.5521817449194323,4023114
global_tabpfn,benign,0.9904162553355089,0.9987019423190784,0.994541841781214,3502926
global_tabpfn,bot,0.9999034306269766,0.9969909970632131,0.9984450899798706,41542
global_tabpfn,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
global_tabpfn,ddos,0.9994442257369799,0.9776571325017367,0.988430635341718,264872
global_tabpfn,dos,0.9998713859450561,0.6414991583325081,0.7815622800844476,60594
global_tabpfn,infiltration,0.8261080556454222,0.2714251547925912,0.4086008600860086,37631
global_tabpfn,web_attacks,0.14601473543201607,0.8565815324165029,0.24949928469241775,509
global_tabpfn,macro_avg,,,0.7624177903558174,4023114
global_tabpfn,weighted_avg,,,0.9831467056809029,4023114
global_tabpfn,tail_avg,,,0.5521817449194323,4023114
global_raw,benign,0.9904162553355089,0.9987019423190784,0.994541841781214,3502926
global_raw,bot,0.9999034306269766,0.9969909970632131,0.9984450899798706,41542
global_raw,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
global_raw,ddos,0.9994442257369799,0.9776571325017367,0.988430635341718,264872
global_raw,dos,0.9998713859450561,0.6414991583325081,0.7815622800844476,60594
global_raw,infiltration,0.8261080556454222,0.2714251547925912,0.4086008600860086,37631
global_raw,web_attacks,0.14601473543201607,0.8565815324165029,0.24949928469241775,509
global_raw,macro_avg,,,0.7624177903558174,4023114
global_raw,weighted_avg,,,0.9831467056809029,4023114
global_raw,tail_avg,,,0.5521817449194323,4023114
