method,class,precision,recall,f1,support
xgboost,benign,0.7852837967552597,0.99808,0.8789861645633162,100000
xgboost,bot,1.0,0.9949208030427038,0.9974539355399226,41542
xgboost,brute_force,0.8256697387110626,0.99982,0.9044379715231669,100000
xgboost,ddos,0.9999698761911456,0.99586,0.9979107065018613,100000
xgboost,dos,0.9999228851245405,0.641977753572961,0.7819331236117671,60594
xgboost,infiltration,0.9883944226433998,0.3145810634848928,0.47726173197871313,37631
xgboost,web_attacks,0.7937062937062938,0.44597249508840864,0.5710691823899371,509
xgboost,macro_avg,,,0.8012932594440978,440276
xgboost,weighted_avg,,,0.8749072894981621,440276
xgboost,tail_avg,,,0.6819282833028576,440276
boostpfn_gboost_tabpfnV2,benign,0.7341556534508077,0.99992,0.8466723116003387,100000
boostpfn_gboost_tabpfnV2,bot,1.0,0.9702229069375572,0.9848864344447567,41542
boostpfn_gboost_tabpfnV2,brute_force,0.9999694721738865,0.32756,0.4934730372033113,100000
boostpfn_gboost_tabpfnV2,ddos,0.9999795932943565,0.98005,0.9899144979722939,100000
boostpfn_gboost_tabpfnV2,dos,0.46032637023375167,0.94737102683434,0.6195931980204966,60594
boostpfn_gboost_tabpfnV2,infiltration,0.9973500361358709,0.22003135712577396,0.3605251126640977,37631
boostpfn_gboost_tabpfnV2,web_attacks,0.0,0.0,0.0,509
boostpfn_gboost_tabpfnV2,macro_avg,,,0.6135806559864706,440276
boostpfn_gboost_tabpfnV2,weighted_avg,,,0.7382430286747746,440276
boostpfn_gboost_tabpfnV2,tail_avg,,,0.44847051570295143,440276
