method,class,precision,recall,f1,support
tabpfn_v3,benign,0.9918014655837379,0.9984024783852128,0.9950910250234523,3502926
tabpfn_v3,bot,0.9999034329583313,0.9970150690867075,0.998457162142616,41542
tabpfn_v3,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_v3,ddos,0.9994621436228036,0.9962132652753027,0.9978350599281883,264872
tabpfn_v3,dos,0.9999485305471203,0.641251609070205,0.7814020834171258,60594
tabpfn_v3,infiltration,0.765861368254685,0.270415349047328,0.3997014808122864,37631
tabpfn_v3,web_attacks,0.14718888186986734,0.9155206286836935,0.25360544217687075,509
tabpfn_v3,macro_avg,,,0.7631379949332725,4023114
tabpfn_v3,weighted_avg,,,0.9841598673312726,4023114
tabpfn_v3,tail_avg,,,0.5505880283772577,4023114
tabpfn_v3+distpfn,benign,0.9923948490593405,0.9980838875842653,0.9952312383280626,3502926
tabpfn_v3+distpfn,bot,0.9999033092412193,0.9957392518415098,0.997816936232828,41542
tabpfn_v3+distpfn,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_v3+distpfn,ddos,0.9994518538680215,0.9981538252438914,0.9988024178315074,264872
tabpfn_v3+distpfn,dos,0.9999485159729194,0.641070072944516,0.7812672841182209,60594
tabpfn_v3+distpfn,infiltration,0.734095826893354,0.31553772155935267,0.441363416719325,37631
tabpfn_v3+distpfn,web_attacks,0.14780902550686723,0.888015717092338,0.2534342584805158,509
tabpfn_v3+distpfn,macro_avg,,,0.769112751820404,4023114
tabpfn_v3+distpfn,weighted_avg,,,0.9847266699963194,4023114
tabpfn_v3+distpfn,tail_avg,,,0.5642048704775563,4023114
tabpfn_v3+distpfn_t,benign,0.9969881283332527,0.6701797297459324,0.8015524425670001,3502926
tabpfn_v3+distpfn_t,bot,0.9995415168552882,0.9971113571806846,0.998324958123953,41542
tabpfn_v3+distpfn_t,brute_force,0.8449276426944832,0.999826147426982,0.9158737110323685,115040
tabpfn_v3+distpfn_t,ddos,0.9990360155308609,0.9859970098764687,0.9924736883107506,264872
tabpfn_v3+distpfn_t,dos,0.9993825413568653,0.641070072944516,0.7810944773433337,60594
tabpfn_v3+distpfn_t,infiltration,0.025906539154730387,0.7983311631367755,0.050184546226762584,37631
tabpfn_v3+distpfn_t,web_attacks,0.01625359485572107,0.9882121807465619,0.03198118006103764,509
tabpfn_v3+distpfn_t,macro_avg,,,0.6530692862378865,4023114
tabpfn_v3+distpfn_t,weighted_avg,,,0.811989498972462,4023114
tabpfn_v3+distpfn_t,tail_avg,,,0.3601635614705844,4023114
