round,n_sampled,n_classes_present,ess_w,n_benign,n_bot,n_brute_force,n_ddos,n_dos,n_infiltration,n_web_attacks,wmass_benign,wmass_bot,wmass_brute_force,wmass_ddos,wmass_dos,wmass_infiltration,wmass_web_attacks
1,500,7,99999.99999999994,369,25,22,24,28,31,1,0.75,0.04848,0.04848,0.04848,0.04848,0.04847,0.0076100000000000004
2,500,7,91885.23034400503,367,16,18,22,27,44,6,0.7005936246876225,0.04074908471369568,0.048216997458107404,0.04424059764552502,0.06179603904106494,0.08995280921008322,0.014450847243884228
3,500,7,59413.34910992216,277,17,26,31,36,97,16,0.5933031752668514,0.03322853833046217,0.04608897872720853,0.039018798391251636,0.0856148391897967,0.1765307862727374,0.026214883821777113
4,500,7,26780.93557365914,215,14,16,17,66,151,21,0.4338541998519054,0.02434595025205716,0.037974979631050704,0.03075865699119736,0.11794717534066013,0.3144442336070461,0.04067480432604252
5,500,7,13236.381859461488,124,10,17,9,71,241,28,0.26958947590836385,0.01476970365711641,0.02855600032140576,0.023681757925687642,0.1294790818561583,0.4773957079810706,0.05652827235008814
6,500,7,8196.368245631393,82,4,6,9,66,295,38,0.15482632860447015,0.008495211282094522,0.022022890037408364,0.02007738013733071,0.11198425520581426,0.6201949559380477,0.06239897879483611
7,500,7,5989.697076360104,47,3,7,8,47,358,30,0.08202105903507707,0.00466993061943455,0.015463977652469166,0.018838254299721306,0.09075958165658814,0.7198285461937887,0.06841865054292354
8,500,6,4943.019952793432,24,0,8,7,30,392,39,0.04326645923513353,0.0026636932141246065,0.010278955758288686,0.01903133289585561,0.07188187202830351,0.7791364801806382,0.07374120668766687
9,500,7,4357.745695037592,14,2,1,10,35,402,36,0.024986347323713846,0.0017397826980856113,0.006813281116926825,0.020073235524111062,0.05769996997660741,0.8098857359363947,0.07880164742413591
10,500,5,4044.454658150398,10,0,0,9,25,413,43,0.019296634989244922,0.0015659931014522736,0.004240979557770875,0.02131554082195577,0.04852749089851791,0.8226242501736947,0.08242911045737064
11,500,6,3825.345255695868,7,0,2,10,26,411,44,0.0179200804440871,0.0014219353227159178,0.002616902168438305,0.022409924335459602,0.04225951290272019,0.8278287603558608,0.08554288447071684
12,500,7,3651.1069445916223,9,1,3,6,19,413,49,0.017558593007992812,0.001304319884450874,0.0016288813254206006,0.02339970911480046,0.03796556232372907,0.8297665818126502,0.08837635253094106
13,500,6,3496.201668686445,7,1,0,10,22,421,39,0.017447770085005122,0.0012112032551366383,0.0010423342684449401,0.02438086803670163,0.035106615418295344,0.82969710868059,0.09111410025582803
14,500,6,3359.120677283042,8,1,0,11,18,410,52,0.017396947971351613,0.0011341274449626537,0.0006914753869980317,0.025314825110190186,0.03325074591078066,0.8284821515415608,0.09372972663417464
15,500,5,3232.2926437683336,8,0,0,16,17,419,40,0.0173805332652798,0.001070743836941438,0.0005742216602640164,0.02624246802893359,0.032058314714971364,0.8263205638341864,0.09635315465942035
16,500,6,3114.8823738987203,10,1,0,18,16,418,37,0.017380033023532946,0.0010174759956207819,0.0005741732913405607,0.02715160669421237,0.03132889862724748,0.8236133047248275,0.09893450764321136
17,500,6,3012.6190408719854,9,1,0,12,13,420,45,0.01738808969150366,0.0009707125093839412,0.0005741479305265431,0.027970255222836513,0.03090451939394059,0.8210165431742307,0.1011757320775904
18,500,6,2901.4393052445603,10,0,1,10,12,423,44,0.017410704760918272,0.0009348084294517178,0.0005741797321082906,0.028937072732020386,0.030569577009340432,0.8177064296195254,0.103867227716625
19,500,6,2793.3440707738005,9,0,2,19,14,415,41,0.017443042522861663,0.000904225112358637,0.0005741815465722819,0.02992884660853028,0.0302881712199005,0.8142052141613,0.10665631882846659
20,500,6,2700.0946914003507,11,0,3,11,10,407,58,0.01749397825469801,0.0008746165218911152,0.0005741524757357261,0.03082604068926092,0.030113783504639207,0.8110126045741035,0.10910482397968158
21,500,5,2607.526133497342,9,0,0,16,13,408,54,0.017556466675252173,0.0008494491502099398,0.0005741558162600185,0.03176221195002554,0.030007278794119026,0.8075619334505628,0.11168850416356518
22,500,6,2514.476316284649,9,2,0,18,8,408,55,0.017640942700076045,0.0008288201045171061,0.0005741657389564187,0.03275071412389092,0.029828825603123495,0.8039122728458652,0.11446425888358341
23,500,5,2429.5966087830375,12,0,0,17,15,390,66,0.017733122247283843,0.0008100344065662484,0.0005741507275395227,0.03368961264366654,0.02966419413028636,0.8004441005756133,0.11708478526903393
24,500,5,2346.702789088318,11,0,0,13,18,403,55,0.017831812603651007,0.0007935668478299366,0.0005741225666081329,0.03464941043171879,0.02950316008575403,0.7968691729610953,0.11977875450334734
25,500,6,2275.8940248128038,10,1,0,18,17,388,66,0.017911697776722496,0.0007768336489648695,0.0005740926161837141,0.035496456092715206,0.029371675556600856,0.7937437117312653,0.12212553257755285
26,500,7,2209.1788097168774,6,1,1,20,8,409,55,0.01799541625257176,0.0007615071007637755,0.000574086792734715,0.0363277182909591,0.02922313330022269,0.7906912961617173,0.12442684210103176
27,500,6,2146.6525597828427,9,0,2,13,23,389,64,0.01808059797576752,0.0007473672294696991,0.000574080394157728,0.03713718311458306,0.02906068389615428,0.7877366303800815,0.12666345700978646
28,500,6,2076.518969703811,8,1,0,17,11,400,63,0.01819135600453979,0.0007361525269691121,0.0005741100931205276,0.0381118248921807,0.0285778791561731,0.7844082549136212,0.1294004224133988
29,500,5,2016.2991350394675,12,0,0,23,15,389,61,0.018293652597638002,0.0007250744170953379,0.0005740871253360726,0.038973398459444406,0.02814478941189173,0.7815082085349123,0.13178078945368105
30,500,5,1953.1555256103875,7,0,0,24,20,389,60,0.018423580761065234,0.0007163183945026724,0.0005741019630932783,0.03992492577522685,0.027487031506634643,0.7785070112885235,0.13436703031095648
31,500,5,1902.874211646994,12,0,0,21,14,386,67,0.01852057289710477,0.0007063134873052881,0.0005740636815440851,0.040708253619594924,0.027038476709530756,0.7759897918641374,0.13646252774078269
32,500,5,1852.966418056301,8,0,0,24,14,381,73,0.01862743039127522,0.0006973721457339604,0.000574066968591897,0.04151859333442681,0.026578564619548682,0.7733672571308946,0.1386367154095252
33,500,6,1797.2804191212088,11,1,0,15,12,394,67,0.018764933033216934,0.0006906194957732265,0.00057409222895213,0.042528558213490476,0.02582952756101546,0.7704298707771196,0.14118239869043586
34,500,5,1741.2414713333214,9,0,0,21,13,389,68,0.018914486811781612,0.0006844985155999034,0.000574098864373782,0.0435955536300897,0.024960323740846613,0.7673740639829015,0.14389697445440733
35,500,5,1694.865501512649,9,0,0,17,8,400,66,0.019031910558844373,0.000677779169160781,0.000574070986040987,0.0445184069473322,0.0242906584944423,0.7647042160724108,0.14620295777176834
36,500,5,1647.2765470214656,11,0,0,24,8,375,82,0.01916509986517258,0.0006721945764488705,0.0005740814311415344,0.045509909166231675,0.023498594584050087,0.7619131015304512,0.14866701884650324
37,500,5,1605.262367568807,14,0,0,17,16,388,65,0.01928985470992111,0.0006664299065739566,0.0005740664478783854,0.04642174820017768,0.02281358620244553,0.7593178697102374,0.15091644482276878
38,500,6,1564.3155767889714,4,0,1,22,16,387,70,0.019421770295154475,0.0006611291063728099,0.0005740669634458241,0.04734617876616843,0.022108046671016214,0.7566935226342936,0.15319528556354758
39,500,5,1524.5224432236873,8,0,0,21,13,373,85,0.019559669290330976,0.0006561712577534515,0.0005740672915671759,0.04828394193576715,0.021388192973047122,0.7540373856411285,0.15550057161040964
